family,width,method,n_seeds,mean_test_accuracy,mean_test_loss,parameter_multiplier,branch_count,inference_multiplier
mu2_nontrivial_h2,64,parameter_matched_wide_control,30,0.7403541666666666,0.6135407333662628,2.0307762976573267,1,1.0
mu2_nontrivial_h2,64,random_branch_control,30,0.5,0.8071640152336332,2.0,2,2.0
mu2_nontrivial_h2,64,supplied_context_q2_branch_predictor,30,1.0,0.4075726852717967,2.0,2,2.0
mu2_nontrivial_h2,64,validation_face_table_router,30,1.0,0.4075726852717967,2.0,2,2.0
mu2_nontrivial_h2,64,validation_global_branch_selector,30,0.75,0.6075702474399647,2.0,2,2.0
mu2_nontrivial_h2,64,wrong_context_control,30,0.5,0.806095350995573,2.0,2,2.0
mu2_nontrivial_h2,64,wrong_twist_control,30,0.5,0.8073828119040168,2.0,2,2.0
random_noncentral,32,c2m3_synchronized,30,1.0,0.4061585720217057,1.0,1,1.0
random_noncentral,32,distilled_single_model_control,30,1.0,0.4061585720217057,1.0,1,1.0
random_noncentral,32,ensemble_reference,30,1.0,0.4061585720217057,4.0,4,4.0
random_noncentral,32,git_rebasin_pairwise,30,1.0,0.4061585720217057,1.0,1,1.0
random_noncentral,32,no_twist_branch_control,30,1.0,0.4061585720217057,2.0,2,2.0
random_noncentral,32,ordinary_weight_average,30,0.5001791666666666,0.6931471805599454,1.0,1,1.0
random_noncentral,32,parameter_matched_wide_control,30,0.9708791666666666,0.47553152232168355,2.0606585788561524,1,1.0
random_noncentral,32,random_branch_control,30,0.4,0.8875188086377839,2.0,2,2.0
random_noncentral,32,supplied_context_q2_branch_predictor,30,1.0,0.4061585720217057,2.0,2,2.0
random_noncentral,32,validation_face_table_router,30,1.0,0.4061585720217057,2.0,2,2.0
random_noncentral,32,validation_global_branch_selector,30,1.0,0.4061585720217057,2.0,2,2.0
random_noncentral,32,wrong_context_control,30,1.0,0.4061585720217057,2.0,2,2.0
random_noncentral,32,wrong_twist_control,30,0.0,1.2066012588055353,2.0,2,2.0
random_noncentral,64,c2m3_synchronized,30,1.0,0.4068889953540211,1.0,1,1.0
random_noncentral,64,distilled_single_model_control,30,1.0,0.4068889953540211,1.0,1,1.0
random_noncentral,64,ensemble_reference,30,1.0,0.4068889953540211,4.0,4,4.0
random_noncentral,64,git_rebasin_pairwise,30,1.0,0.4068889953540211,1.0,1,1.0
random_noncentral,64,no_twist_branch_control,30,1.0,0.4068889953540211,2.0,2,2.0
random_noncentral,64,ordinary_weight_average,30,0.49899166666666667,0.6931471805599454,1.0,1,1.0
random_noncentral,64,parameter_matched_wide_control,30,0.9727250000000001,0.47637449833304596,2.0307762976573267,1,1.0
random_noncentral,64,random_branch_control,30,0.5,0.8045792934557834,2.0,2,2.0
random_noncentral,64,supplied_context_q2_branch_predictor,30,1.0,0.4068889953540211,2.0,2,2.0
random_noncentral,64,validation_face_table_router,30,1.0,0.4068889953540211,2.0,2,2.0
random_noncentral,64,validation_global_branch_selector,30,1.0,0.4068889953540211,2.0,2,2.0
random_noncentral,64,wrong_context_control,30,1.0,0.4068889953540211,2.0,2,2.0
random_noncentral,64,wrong_twist_control,30,0.0,1.2051926212022654,2.0,2,2.0
