phase,seed,method,condition,examples,task_accuracy
discovery,1,context_blind_expert_average,chart_distribution_shift,222,0.37387385964393616
discovery,1,context_blind_expert_average,color_jitter,222,0.31081080436706543
discovery,1,context_blind_expert_average,gaussian_corruption,222,0.13063062727451324
discovery,1,context_blind_expert_average,heldout_compositions,222,0.3468468487262726
discovery,1,context_blind_expert_average,heldout_reflections,222,0.27927929162979126
discovery,1,context_blind_expert_average,heldout_rotations,222,0.3558558523654938
discovery,1,context_blind_expert_average,seen_rotations,222,0.3288288414478302
discovery,1,generic_moe,ambiguous_symmetric_inputs,224,0.2723214328289032
discovery,1,generic_moe,blur,222,0.2477477490901947
discovery,1,generic_moe,chart_distribution_shift,222,0.2702702581882477
discovery,1,generic_moe,color_jitter,222,0.30630630254745483
discovery,1,generic_moe,gaussian_corruption,222,0.1666666716337204
discovery,1,generic_moe,heldout_compositions,222,0.2522522509098053
discovery,1,generic_moe,heldout_reflections,222,0.3513513505458832
discovery,1,generic_moe,heldout_rotations,222,0.2567567527294159
discovery,1,generic_moe,seen_rotations,222,0.4234234094619751
discovery,1,generic_low_rank_context_adapter,ambiguous_symmetric_inputs,224,0.2098214328289032
discovery,1,generic_low_rank_context_adapter,blur,222,0.21171170473098755
discovery,1,generic_low_rank_context_adapter,chart_distribution_shift,222,0.19369369745254517
discovery,1,generic_low_rank_context_adapter,color_jitter,222,0.23423422873020172
discovery,1,generic_low_rank_context_adapter,gaussian_corruption,222,0.23423422873020172
discovery,1,generic_low_rank_context_adapter,heldout_compositions,222,0.22522522509098053
discovery,1,generic_low_rank_context_adapter,heldout_reflections,222,0.29279279708862305
discovery,1,generic_low_rank_context_adapter,heldout_rotations,222,0.19819819927215576
discovery,1,generic_low_rank_context_adapter,seen_rotations,222,0.29279279708862305
discovery,1,d4_equivariant_chart_soft_routing,ambiguous_symmetric_inputs,224,0.2901785671710968
discovery,1,d4_equivariant_chart_soft_routing,blur,222,0.3288288414478302
discovery,1,d4_equivariant_chart_soft_routing,chart_distribution_shift,222,0.4279279410839081
discovery,1,d4_equivariant_chart_soft_routing,color_jitter,222,0.342342346906662
discovery,1,d4_equivariant_chart_soft_routing,gaussian_corruption,222,0.1756756752729416
discovery,1,d4_equivariant_chart_soft_routing,heldout_compositions,222,0.38288289308547974
discovery,1,d4_equivariant_chart_soft_routing,heldout_reflections,222,0.38288289308547974
discovery,1,d4_equivariant_chart_soft_routing,heldout_rotations,222,0.4009009003639221
discovery,1,d4_equivariant_chart_soft_routing,seen_rotations,222,0.4009009003639221
discovery,1,inferred_canonicalize_pool_retransport,ambiguous_symmetric_inputs,224,0.1875
discovery,1,inferred_canonicalize_pool_retransport,blur,222,0.2387387454509735
discovery,1,inferred_canonicalize_pool_retransport,chart_distribution_shift,222,0.2522522509098053
discovery,1,inferred_canonicalize_pool_retransport,color_jitter,222,0.20270270109176636
discovery,1,inferred_canonicalize_pool_retransport,gaussian_corruption,222,0.11261261254549026
discovery,1,inferred_canonicalize_pool_retransport,heldout_compositions,222,0.21621622145175934
discovery,1,inferred_canonicalize_pool_retransport,heldout_reflections,222,0.1756756752729416
discovery,1,inferred_canonicalize_pool_retransport,heldout_rotations,222,0.20720720291137695
discovery,1,inferred_canonicalize_pool_retransport,seen_rotations,222,0.18918919563293457
discovery,1,d4_equivariant_task_classifier,ambiguous_symmetric_inputs,224,0.3125
discovery,1,d4_equivariant_task_classifier,blur,222,0.30630630254745483
discovery,1,d4_equivariant_task_classifier,chart_distribution_shift,222,0.37837839126586914
discovery,1,d4_equivariant_task_classifier,color_jitter,222,0.3378378450870514
discovery,1,d4_equivariant_task_classifier,gaussian_corruption,222,0.15315315127372742
discovery,1,d4_equivariant_task_classifier,heldout_compositions,222,0.30180180072784424
discovery,1,d4_equivariant_task_classifier,heldout_reflections,222,0.29729729890823364
discovery,1,d4_equivariant_task_classifier,heldout_rotations,222,0.37837839126586914
discovery,1,d4_equivariant_task_classifier,seen_rotations,222,0.31081080436706543
discovery,1,d4_test_time_augmentation,ambiguous_symmetric_inputs,224,0.2991071343421936
discovery,1,d4_test_time_augmentation,blur,222,0.2432432472705841
discovery,1,d4_test_time_augmentation,chart_distribution_shift,222,0.3243243098258972
discovery,1,d4_test_time_augmentation,color_jitter,222,0.29279279708862305
discovery,1,d4_test_time_augmentation,gaussian_corruption,222,0.12612612545490265
discovery,1,d4_test_time_augmentation,heldout_compositions,222,0.29729729890823364
discovery,1,d4_test_time_augmentation,heldout_reflections,222,0.2477477490901947
discovery,1,d4_test_time_augmentation,heldout_rotations,222,0.2567567527294159
discovery,1,d4_test_time_augmentation,seen_rotations,222,0.2612612545490265
discovery,1,one_canonical_after_inferred_inverse,ambiguous_symmetric_inputs,224,0.2901785671710968
discovery,1,one_canonical_after_inferred_inverse,blur,222,0.315315306186676
discovery,1,one_canonical_after_inferred_inverse,chart_distribution_shift,222,0.3513513505458832
discovery,1,one_canonical_after_inferred_inverse,color_jitter,222,0.3378378450870514
discovery,1,one_canonical_after_inferred_inverse,gaussian_corruption,222,0.15315315127372742
discovery,1,one_canonical_after_inferred_inverse,heldout_compositions,222,0.3378378450870514
discovery,1,one_canonical_after_inferred_inverse,heldout_reflections,222,0.3288288414478302
discovery,1,one_canonical_after_inferred_inverse,heldout_rotations,222,0.342342346906662
discovery,1,one_canonical_after_inferred_inverse,seen_rotations,222,0.29279279708862305
discovery,1,supplied_chart_oracle,ambiguous_symmetric_inputs,224,0.3169642984867096
discovery,1,supplied_chart_oracle,blur,222,0.4054054021835327
discovery,1,supplied_chart_oracle,chart_distribution_shift,222,0.46846845746040344
discovery,1,supplied_chart_oracle,color_jitter,222,0.4369369447231293
discovery,1,supplied_chart_oracle,gaussian_corruption,222,0.22522522509098053
discovery,1,supplied_chart_oracle,heldout_compositions,222,0.45045045018196106
discovery,1,supplied_chart_oracle,heldout_reflections,222,0.45495495200157166
discovery,1,supplied_chart_oracle,heldout_rotations,222,0.45045045018196106
discovery,1,supplied_chart_oracle,seen_rotations,222,0.4909909963607788
discovery,1,random_action_control,ambiguous_symmetric_inputs,224,0.28125
discovery,1,random_action_control,blur,222,0.2747747600078583
discovery,1,random_action_control,chart_distribution_shift,222,0.342342346906662
discovery,1,random_action_control,color_jitter,222,0.28828829526901245
discovery,1,random_action_control,gaussian_corruption,222,0.1621621549129486
discovery,1,random_action_control,heldout_compositions,222,0.3243243098258972
discovery,1,random_action_control,heldout_reflections,222,0.27927929162979126
discovery,1,random_action_control,heldout_rotations,222,0.30180180072784424
discovery,1,random_action_control,seen_rotations,222,0.3288288414478302
discovery,1,wrong_action_control,ambiguous_symmetric_inputs,224,0.2678571343421936
discovery,1,wrong_action_control,blur,222,0.2747747600078583
discovery,1,wrong_action_control,chart_distribution_shift,222,0.30180180072784424
discovery,1,wrong_action_control,color_jitter,222,0.31081080436706543
discovery,1,wrong_action_control,gaussian_corruption,222,0.13513512909412384
discovery,1,wrong_action_control,heldout_compositions,222,0.28378379344940186
discovery,1,wrong_action_control,heldout_reflections,222,0.21621622145175934
discovery,1,wrong_action_control,heldout_rotations,222,0.27927929162979126
discovery,1,wrong_action_control,seen_rotations,222,0.29729729890823364
discovery,1,ensemble_reference,ambiguous_symmetric_inputs,224,0.28125
discovery,1,ensemble_reference,blur,222,0.2522522509098053
discovery,1,ensemble_reference,chart_distribution_shift,222,0.28378379344940186
discovery,1,ensemble_reference,color_jitter,222,0.3288288414478302
discovery,1,ensemble_reference,gaussian_corruption,222,0.1621621549129486
discovery,1,ensemble_reference,heldout_compositions,222,0.2522522509098053
discovery,1,ensemble_reference,heldout_reflections,222,0.20270270109176636
discovery,1,ensemble_reference,heldout_rotations,222,0.2567567527294159
discovery,1,ensemble_reference,seen_rotations,222,0.4234234094619751
discovery,2,context_blind_expert_average,ambiguous_symmetric_inputs,224,0.3125
discovery,2,context_blind_expert_average,blur,222,0.22522522509098053
discovery,2,context_blind_expert_average,chart_distribution_shift,222,0.2522522509098053
discovery,2,context_blind_expert_average,color_jitter,222,0.2522522509098053
discovery,2,context_blind_expert_average,gaussian_corruption,222,0.14864864945411682
discovery,2,context_blind_expert_average,heldout_compositions,222,0.28378379344940186
discovery,2,context_blind_expert_average,heldout_reflections,222,0.38738739490509033
discovery,2,context_blind_expert_average,heldout_rotations,222,0.30630630254745483
discovery,2,context_blind_expert_average,seen_rotations,222,0.28378379344940186
discovery,2,generic_moe,ambiguous_symmetric_inputs,224,0.3125
discovery,2,generic_moe,blur,222,0.2432432472705841
discovery,2,generic_moe,chart_distribution_shift,222,0.22072072327136993
discovery,2,generic_moe,color_jitter,222,0.27927929162979126
discovery,2,generic_moe,gaussian_corruption,222,0.15315315127372742
discovery,2,generic_moe,heldout_compositions,222,0.2612612545490265
discovery,2,generic_moe,heldout_reflections,222,0.38738739490509033
discovery,2,generic_moe,heldout_rotations,222,0.27927929162979126
discovery,2,generic_moe,seen_rotations,222,0.342342346906662
discovery,2,generic_low_rank_context_adapter,ambiguous_symmetric_inputs,224,0.3258928656578064
discovery,2,generic_low_rank_context_adapter,blur,222,0.23423422873020172
discovery,2,generic_low_rank_context_adapter,chart_distribution_shift,222,0.18018017709255219
discovery,2,generic_low_rank_context_adapter,color_jitter,222,0.2747747600078583
discovery,2,generic_low_rank_context_adapter,gaussian_corruption,222,0.13513512909412384
discovery,2,generic_low_rank_context_adapter,heldout_compositions,222,0.171171173453331
discovery,2,generic_low_rank_context_adapter,heldout_reflections,222,0.3963963985443115
discovery,2,generic_low_rank_context_adapter,heldout_rotations,222,0.21621622145175934
discovery,2,generic_low_rank_context_adapter,seen_rotations,222,0.27927929162979126
discovery,2,d4_equivariant_chart_soft_routing,ambiguous_symmetric_inputs,224,0.2991071343421936
discovery,2,d4_equivariant_chart_soft_routing,blur,222,0.342342346906662
discovery,2,d4_equivariant_chart_soft_routing,chart_distribution_shift,222,0.28828829526901245
discovery,2,d4_equivariant_chart_soft_routing,color_jitter,222,0.3198198080062866
discovery,2,d4_equivariant_chart_soft_routing,gaussian_corruption,222,0.171171173453331
discovery,2,d4_equivariant_chart_soft_routing,heldout_compositions,222,0.3243243098258972
discovery,2,d4_equivariant_chart_soft_routing,heldout_reflections,222,0.4099099040031433
discovery,2,d4_equivariant_chart_soft_routing,heldout_rotations,222,0.3243243098258972
discovery,2,d4_equivariant_chart_soft_routing,seen_rotations,222,0.3378378450870514
discovery,2,inferred_canonicalize_pool_retransport,ambiguous_symmetric_inputs,224,0.1785714328289032
discovery,2,inferred_canonicalize_pool_retransport,blur,222,0.21171170473098755
discovery,2,inferred_canonicalize_pool_retransport,chart_distribution_shift,222,0.20720720291137695
discovery,2,inferred_canonicalize_pool_retransport,color_jitter,222,0.21621622145175934
discovery,2,inferred_canonicalize_pool_retransport,gaussian_corruption,222,0.13513512909412384
discovery,2,inferred_canonicalize_pool_retransport,heldout_compositions,222,0.19819819927215576
discovery,2,inferred_canonicalize_pool_retransport,heldout_reflections,222,0.22972972691059113
discovery,2,inferred_canonicalize_pool_retransport,heldout_rotations,222,0.22522522509098053
discovery,2,inferred_canonicalize_pool_retransport,seen_rotations,222,0.19369369745254517
discovery,2,d4_equivariant_task_classifier,ambiguous_symmetric_inputs,224,0.2053571492433548
discovery,2,d4_equivariant_task_classifier,blur,222,0.2747747600078583
discovery,2,d4_equivariant_task_classifier,chart_distribution_shift,222,0.22972972691059113
discovery,2,d4_equivariant_task_classifier,color_jitter,222,0.28378379344940186
discovery,2,d4_equivariant_task_classifier,gaussian_corruption,222,0.157657653093338
discovery,2,d4_equivariant_task_classifier,heldout_compositions,222,0.3333333432674408
discovery,2,d4_equivariant_task_classifier,heldout_reflections,222,0.3918918967247009
discovery,2,d4_equivariant_task_classifier,heldout_rotations,222,0.3333333432674408
discovery,2,d4_equivariant_task_classifier,seen_rotations,222,0.3288288414478302
discovery,2,d4_test_time_augmentation,ambiguous_symmetric_inputs,224,0.2991071343421936
discovery,2,d4_test_time_augmentation,blur,222,0.18468467891216278
discovery,2,d4_test_time_augmentation,chart_distribution_shift,222,0.2657657563686371
discovery,2,d4_test_time_augmentation,color_jitter,222,0.22972972691059113
discovery,2,d4_test_time_augmentation,gaussian_corruption,222,0.11711711436510086
discovery,2,d4_test_time_augmentation,heldout_compositions,222,0.2612612545490265
discovery,2,d4_test_time_augmentation,heldout_reflections,222,0.3333333432674408
discovery,2,d4_test_time_augmentation,heldout_rotations,222,0.29729729890823364
discovery,2,d4_test_time_augmentation,seen_rotations,222,0.29729729890823364
discovery,2,one_canonical_after_inferred_inverse,ambiguous_symmetric_inputs,224,0.3169642984867096
discovery,2,one_canonical_after_inferred_inverse,blur,222,0.28828829526901245
discovery,2,one_canonical_after_inferred_inverse,chart_distribution_shift,222,0.30180180072784424
discovery,2,one_canonical_after_inferred_inverse,color_jitter,222,0.2702702581882477
discovery,2,one_canonical_after_inferred_inverse,gaussian_corruption,222,0.12162162363529205
discovery,2,one_canonical_after_inferred_inverse,heldout_compositions,222,0.3198198080062866
discovery,2,one_canonical_after_inferred_inverse,heldout_reflections,222,0.3558558523654938
discovery,2,one_canonical_after_inferred_inverse,heldout_rotations,222,0.31081080436706543
discovery,2,one_canonical_after_inferred_inverse,seen_rotations,222,0.3558558523654938
discovery,2,supplied_chart_oracle,ambiguous_symmetric_inputs,224,0.3169642984867096
discovery,2,supplied_chart_oracle,blur,222,0.38738739490509033
discovery,2,supplied_chart_oracle,chart_distribution_shift,222,0.3468468487262726
discovery,2,supplied_chart_oracle,color_jitter,222,0.4054054021835327
discovery,2,supplied_chart_oracle,gaussian_corruption,222,0.22522522509098053
discovery,2,supplied_chart_oracle,heldout_compositions,222,0.36036035418510437
discovery,2,supplied_chart_oracle,heldout_reflections,222,0.46846845746040344
discovery,2,supplied_chart_oracle,heldout_rotations,222,0.38288289308547974
discovery,2,supplied_chart_oracle,seen_rotations,222,0.3918918967247009
discovery,2,random_action_control,ambiguous_symmetric_inputs,224,0.2946428656578064
discovery,2,random_action_control,blur,222,0.2477477490901947
discovery,2,random_action_control,chart_distribution_shift,222,0.2702702581882477
discovery,2,random_action_control,color_jitter,222,0.27927929162979126
discovery,2,random_action_control,gaussian_corruption,222,0.157657653093338
discovery,2,random_action_control,heldout_compositions,222,0.22522522509098053
discovery,2,random_action_control,heldout_reflections,222,0.3468468487262726
discovery,2,random_action_control,heldout_rotations,222,0.2702702581882477
discovery,2,random_action_control,seen_rotations,222,0.29729729890823364
discovery,2,wrong_action_control,ambiguous_symmetric_inputs,224,0.2991071343421936
discovery,2,wrong_action_control,blur,222,0.21171170473098755
discovery,2,wrong_action_control,chart_distribution_shift,222,0.23423422873020172
discovery,2,wrong_action_control,color_jitter,222,0.22072072327136993
discovery,2,wrong_action_control,gaussian_corruption,222,0.171171173453331
discovery,2,wrong_action_control,heldout_compositions,222,0.21171170473098755
discovery,2,wrong_action_control,heldout_reflections,222,0.30180180072784424
discovery,2,wrong_action_control,heldout_rotations,222,0.22972972691059113
discovery,2,wrong_action_control,seen_rotations,222,0.20720720291137695
discovery,2,ensemble_reference,ambiguous_symmetric_inputs,224,0.3080357015132904
discovery,2,ensemble_reference,blur,222,0.22072072327136993
discovery,2,ensemble_reference,chart_distribution_shift,222,0.21621622145175934
discovery,2,ensemble_reference,color_jitter,222,0.2747747600078583
discovery,2,ensemble_reference,gaussian_corruption,222,0.14414414763450623
discovery,2,ensemble_reference,heldout_compositions,222,0.22072072327136993
discovery,2,ensemble_reference,heldout_reflections,222,0.28378379344940186
discovery,2,ensemble_reference,heldout_rotations,222,0.23423422873020172
discovery,2,ensemble_reference,seen_rotations,222,0.3468468487262726
discovery,3,context_blind_expert_average,ambiguous_symmetric_inputs,224,0.3258928656578064
discovery,3,context_blind_expert_average,blur,222,0.2522522509098053
discovery,3,context_blind_expert_average,chart_distribution_shift,222,0.3378378450870514
discovery,3,context_blind_expert_average,color_jitter,222,0.2387387454509735
discovery,3,context_blind_expert_average,gaussian_corruption,222,0.18468467891216278
discovery,3,context_blind_expert_average,heldout_compositions,222,0.27927929162979126
discovery,3,context_blind_expert_average,heldout_reflections,222,0.36036035418510437
discovery,3,context_blind_expert_average,heldout_rotations,222,0.37387385964393616
discovery,3,context_blind_expert_average,seen_rotations,222,0.29729729890823364
discovery,3,generic_moe,ambiguous_symmetric_inputs,224,0.3303571343421936
discovery,3,generic_moe,blur,222,0.2567567527294159
discovery,3,generic_moe,chart_distribution_shift,222,0.2432432472705841
discovery,3,generic_moe,color_jitter,222,0.28378379344940186
discovery,3,generic_moe,gaussian_corruption,222,0.18918919563293457
discovery,3,generic_moe,heldout_compositions,222,0.20270270109176636
discovery,3,generic_moe,heldout_reflections,222,0.36936935782432556
discovery,3,generic_moe,heldout_rotations,222,0.2567567527294159
discovery,3,generic_moe,seen_rotations,222,0.37387385964393616
discovery,3,generic_low_rank_context_adapter,ambiguous_symmetric_inputs,224,0.2767857015132904
discovery,3,generic_low_rank_context_adapter,blur,222,0.29729729890823364
discovery,3,generic_low_rank_context_adapter,chart_distribution_shift,222,0.19819819927215576
discovery,3,generic_low_rank_context_adapter,color_jitter,222,0.2432432472705841
discovery,3,generic_low_rank_context_adapter,gaussian_corruption,222,0.1666666716337204
discovery,3,generic_low_rank_context_adapter,heldout_compositions,222,0.1756756752729416
discovery,3,generic_low_rank_context_adapter,heldout_reflections,222,0.28828829526901245
discovery,3,generic_low_rank_context_adapter,heldout_rotations,222,0.20720720291137695
discovery,3,generic_low_rank_context_adapter,seen_rotations,222,0.31081080436706543
discovery,3,d4_equivariant_chart_soft_routing,ambiguous_symmetric_inputs,224,0.3303571343421936
discovery,3,d4_equivariant_chart_soft_routing,blur,222,0.30180180072784424
discovery,3,d4_equivariant_chart_soft_routing,chart_distribution_shift,222,0.3198198080062866
discovery,3,d4_equivariant_chart_soft_routing,color_jitter,222,0.3198198080062866
discovery,3,d4_equivariant_chart_soft_routing,gaussian_corruption,222,0.23423422873020172
discovery,3,d4_equivariant_chart_soft_routing,heldout_compositions,222,0.342342346906662
discovery,3,d4_equivariant_chart_soft_routing,heldout_reflections,222,0.37387385964393616
discovery,3,d4_equivariant_chart_soft_routing,heldout_rotations,222,0.38288289308547974
discovery,3,d4_equivariant_chart_soft_routing,seen_rotations,222,0.36486485600471497
discovery,3,inferred_canonicalize_pool_retransport,ambiguous_symmetric_inputs,224,0.2053571492433548
discovery,3,inferred_canonicalize_pool_retransport,blur,222,0.28378379344940186
discovery,3,inferred_canonicalize_pool_retransport,chart_distribution_shift,222,0.19369369745254517
discovery,3,inferred_canonicalize_pool_retransport,color_jitter,222,0.19819819927215576
discovery,3,inferred_canonicalize_pool_retransport,gaussian_corruption,222,0.13963964581489563
discovery,3,inferred_canonicalize_pool_retransport,heldout_compositions,222,0.2657657563686371
discovery,3,inferred_canonicalize_pool_retransport,heldout_reflections,222,0.22972972691059113
discovery,3,inferred_canonicalize_pool_retransport,heldout_rotations,222,0.22972972691059113
discovery,3,inferred_canonicalize_pool_retransport,seen_rotations,222,0.22522522509098053
discovery,3,d4_equivariant_task_classifier,ambiguous_symmetric_inputs,224,0.34375
discovery,3,d4_equivariant_task_classifier,blur,222,0.27927929162979126
discovery,3,d4_equivariant_task_classifier,chart_distribution_shift,222,0.30180180072784424
discovery,3,d4_equivariant_task_classifier,color_jitter,222,0.30180180072784424
discovery,3,d4_equivariant_task_classifier,gaussian_corruption,222,0.12162162363529205
discovery,3,d4_equivariant_task_classifier,heldout_compositions,222,0.29279279708862305
discovery,3,d4_equivariant_task_classifier,heldout_reflections,222,0.3243243098258972
discovery,3,d4_equivariant_task_classifier,heldout_rotations,222,0.30630630254745483
discovery,3,d4_equivariant_task_classifier,seen_rotations,222,0.29279279708862305
