setting_id,source,level,n_models,width,seed,block_size,triangle,cycle_score,centrality_score,phase_residual,detected_order_d,rank_allowed,residual_type,selected_resolution,centrality_improvement_from_previous_level,centrality_improvement_from_permutation_to_block,supports_brauer_projective_interpretation,is_finite_index_candidate,final_decision,selected_level,mean_pairwise_block_residual,max_pairwise_block_residual,used_remainder_block,individual_accuracy_mean,individual_accuracy_max,merge_evaluated,merge_accuracy,merge_notes,notes
scalar_block_phase_detected,synthetic,permutation,3,4,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,central_projective_diagnostic,block_orthogonal,0.0,0.0,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
scalar_block_phase_detected,synthetic,signed_permutation,3,4,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,central_projective_diagnostic,block_orthogonal,0.0,0.0,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
scalar_block_phase_detected,synthetic,monomial_phase_or_scale,3,4,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,central_projective_diagnostic,block_orthogonal,0.0,0.0,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
scalar_block_phase_detected,synthetic,block_orthogonal,3,4,-1,2,0-1-2,2.0,0.0,1.2246467991473532e-16,2.0,True,central_projective_after_block,central_projective_diagnostic,,,True,True,central_projective_diagnostic,block_orthogonal,0.0,0.0,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,block-orthogonal defect is scalar/root-of-unity; diagnostic only unless a valid lift is separately implemented
scalar_block_phase_detected,synthetic,low_rank_GL,3,4,-1,2,0-1-2,,,,,,not_evaluated,not_evaluated,,,False,False,central_projective_diagnostic,block_orthogonal,0.0,0.0,False,,,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,no transition maps or activation estimator available for this level
mnist_mlp_N3_W16_S1700_B2,real_mnist,permutation,3,16,1700,2,0-1-2,1.2747548783981961,0.982264602843857,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,0.009298809547877318,False,False,gl_diagnostic_only,low_rank_GL,0.7470083782957082,1.1045030721418754,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N3_W16_S1700_B2,real_mnist,signed_permutation,3,16,1700,2,0-1-2,1.2747548783981961,0.982264602843857,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,0.009298809547877318,False,False,gl_diagnostic_only,low_rank_GL,0.7470083782957082,1.1045030721418754,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,signed extension did not make the residual scalar/central
mnist_mlp_N3_W16_S1700_B2,real_mnist,monomial_phase_or_scale,3,16,1700,2,0-1-2,0.9768773269078914,0.2717059786783999,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.7105586241654571,0.009298809547877318,False,False,gl_diagnostic_only,low_rank_GL,0.7470083782957082,1.1045030721418754,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N3_W16_S1700_B2,real_mnist,block_orthogonal,3,16,1700,2,0-1-2,1.2402021855442895,0.9729657932959797,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,-0.7012598146175797,0.009298809547877318,False,False,gl_diagnostic_only,low_rank_GL,0.7470083782957082,1.1045030721418754,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
mnist_mlp_N3_W16_S1700_B2,real_mnist,low_rank_GL,3,16,1700,2,0-1-2,0.7420502388059951,0.48984095348115636,0.0,1.0,,gl_reduces_residual,gl_diagnostic_only,0.4831248398148233,0.009298809547877318,False,False,gl_diagnostic_only,low_rank_GL,0.7470083782957082,1.1045030721418754,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,GL alignment is diagnostic; no practical merge improvement is claimed
mnist_mlp_N3_W16_S1700_B4,real_mnist,permutation,3,16,1700,4,0-1-2,1.2747548783981961,0.982264602843857,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,0.0025102464906314736,False,False,gl_diagnostic_only,low_rank_GL,0.687171632140561,0.8620767293414928,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N3_W16_S1700_B4,real_mnist,signed_permutation,3,16,1700,4,0-1-2,1.2747548783981961,0.982264602843857,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,0.0025102464906314736,False,False,gl_diagnostic_only,low_rank_GL,0.687171632140561,0.8620767293414928,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,signed extension did not make the residual scalar/central
mnist_mlp_N3_W16_S1700_B4,real_mnist,monomial_phase_or_scale,3,16,1700,4,0-1-2,0.9768773269078914,0.2717059786783999,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.7105586241654571,0.0025102464906314736,False,False,gl_diagnostic_only,low_rank_GL,0.687171632140561,0.8620767293414928,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N3_W16_S1700_B4,real_mnist,block_orthogonal,3,16,1700,4,0-1-2,1.264750252351261,0.9797543563532255,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,-0.7080483776748256,0.0025102464906314736,False,False,gl_diagnostic_only,low_rank_GL,0.687171632140561,0.8620767293414928,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
mnist_mlp_N3_W16_S1700_B4,real_mnist,low_rank_GL,3,16,1700,4,0-1-2,0.7420502388059951,0.48984095348115636,0.0,1.0,,gl_reduces_residual,gl_diagnostic_only,0.48991340287206914,0.0025102464906314736,False,False,gl_diagnostic_only,low_rank_GL,0.687171632140561,0.8620767293414928,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,GL alignment is diagnostic; no practical merge improvement is claimed
mnist_mlp_N3_W16_S1700_B8,real_mnist,permutation,3,16,1700,8,0-1-2,1.2747548783981961,0.982264602843857,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,0.014581787654973422,False,False,gl_diagnostic_only,low_rank_GL,0.5673009702942532,0.6623673612631614,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N3_W16_S1700_B8,real_mnist,signed_permutation,3,16,1700,8,0-1-2,1.2747548783981961,0.982264602843857,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,0.014581787654973422,False,False,gl_diagnostic_only,low_rank_GL,0.5673009702942532,0.6623673612631614,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,signed extension did not make the residual scalar/central
mnist_mlp_N3_W16_S1700_B8,real_mnist,monomial_phase_or_scale,3,16,1700,8,0-1-2,0.9768773269078914,0.2717059786783999,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.7105586241654571,0.014581787654973422,False,False,gl_diagnostic_only,low_rank_GL,0.5673009702942532,0.6623673612631614,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N3_W16_S1700_B8,real_mnist,block_orthogonal,3,16,1700,8,0-1-2,1.222971368351697,0.9676828151888835,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,-0.6959768365104837,0.014581787654973422,False,False,gl_diagnostic_only,low_rank_GL,0.5673009702942532,0.6623673612631614,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
mnist_mlp_N3_W16_S1700_B8,real_mnist,low_rank_GL,3,16,1700,8,0-1-2,0.7420502388059951,0.48984095348115636,0.0,1.0,,gl_reduces_residual,gl_diagnostic_only,0.4778418617077272,0.014581787654973422,False,False,gl_diagnostic_only,low_rank_GL,0.5673009702942532,0.6623673612631614,False,0.6646666666666666,0.736,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,GL alignment is diagnostic; no practical merge improvement is claimed
mnist_mlp_N3_W32_S1700_B2,real_mnist,permutation,3,32,1700,2,0-1-2,1.0,0.8660254037844385,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,-0.034305408632028356,False,False,gl_diagnostic_only,low_rank_GL,0.6358071413047283,0.8858970594716252,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N3_W32_S1700_B2,real_mnist,signed_permutation,3,32,1700,2,0-1-2,1.0,0.8660254037844385,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,-0.034305408632028356,False,False,gl_diagnostic_only,low_rank_GL,0.6358071413047283,0.8858970594716252,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,signed extension did not make the residual scalar/central
mnist_mlp_N3_W32_S1700_B2,real_mnist,monomial_phase_or_scale,3,32,1700,2,0-1-2,0.8622440600987398,0.41783871713424053,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.44818668665019795,-0.034305408632028356,False,False,gl_diagnostic_only,low_rank_GL,0.6358071413047283,0.8858970594716252,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N3_W32_S1700_B2,real_mnist,block_orthogonal,3,32,1700,2,0-1-2,1.0628205959063644,0.9003308124164668,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,-0.4824920952822263,-0.034305408632028356,False,False,gl_diagnostic_only,low_rank_GL,0.6358071413047283,0.8858970594716252,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
mnist_mlp_N3_W32_S1700_B2,real_mnist,low_rank_GL,3,32,1700,2,0-1-2,0.8300649498491497,0.5161798696373433,0.0,1.0,,gl_reduces_residual,gl_diagnostic_only,0.38415094277912354,-0.034305408632028356,False,False,gl_diagnostic_only,low_rank_GL,0.6358071413047283,0.8858970594716252,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,GL alignment is diagnostic; no practical merge improvement is claimed
mnist_mlp_N3_W32_S1700_B4,real_mnist,permutation,3,32,1700,4,0-1-2,1.0,0.8660254037844385,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,-0.047551081344063606,False,False,gl_diagnostic_only,low_rank_GL,0.5953124989430253,0.7329204656354195,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N3_W32_S1700_B4,real_mnist,signed_permutation,3,32,1700,4,0-1-2,1.0,0.8660254037844385,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,-0.047551081344063606,False,False,gl_diagnostic_only,low_rank_GL,0.5953124989430253,0.7329204656354195,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,signed extension did not make the residual scalar/central
mnist_mlp_N3_W32_S1700_B4,real_mnist,monomial_phase_or_scale,3,32,1700,4,0-1-2,0.8622440600987398,0.41783871713424053,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.44818668665019795,-0.047551081344063606,False,False,gl_diagnostic_only,low_rank_GL,0.5953124989430253,0.7329204656354195,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N3_W32_S1700_B4,real_mnist,block_orthogonal,3,32,1700,4,0-1-2,1.089342051839861,0.9135764851285021,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,-0.49573776799426156,-0.047551081344063606,False,False,gl_diagnostic_only,low_rank_GL,0.5953124989430253,0.7329204656354195,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
mnist_mlp_N3_W32_S1700_B4,real_mnist,low_rank_GL,3,32,1700,4,0-1-2,0.8300649498491497,0.5161798696373433,0.0,1.0,,gl_reduces_residual,gl_diagnostic_only,0.3973966154911588,-0.047551081344063606,False,False,gl_diagnostic_only,low_rank_GL,0.5953124989430253,0.7329204656354195,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,GL alignment is diagnostic; no practical merge improvement is claimed
mnist_mlp_N3_W32_S1700_B8,real_mnist,permutation,3,32,1700,8,0-1-2,1.0,0.8660254037844385,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,-0.10028020671469873,False,False,gl_diagnostic_only,low_rank_GL,0.49244169014890166,0.6009781179385316,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N3_W32_S1700_B8,real_mnist,signed_permutation,3,32,1700,8,0-1-2,1.0,0.8660254037844385,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,-0.10028020671469873,False,False,gl_diagnostic_only,low_rank_GL,0.49244169014890166,0.6009781179385316,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,signed extension did not make the residual scalar/central
mnist_mlp_N3_W32_S1700_B8,real_mnist,monomial_phase_or_scale,3,32,1700,8,0-1-2,0.8622440600987398,0.41783871713424053,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.44818668665019795,-0.10028020671469873,False,False,gl_diagnostic_only,low_rank_GL,0.49244169014890166,0.6009781179385316,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N3_W32_S1700_B8,real_mnist,block_orthogonal,3,32,1700,8,0-1-2,1.2186898796972607,0.9663056104991372,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,-0.5484668933648966,-0.10028020671469873,False,False,gl_diagnostic_only,low_rank_GL,0.49244169014890166,0.6009781179385316,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
mnist_mlp_N3_W32_S1700_B8,real_mnist,low_rank_GL,3,32,1700,8,0-1-2,0.8300649498491497,0.5161798696373433,0.0,1.0,,gl_reduces_residual,gl_diagnostic_only,0.4501257408617939,-0.10028020671469873,False,False,gl_diagnostic_only,low_rank_GL,0.49244169014890166,0.6009781179385316,False,0.781,0.785,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,GL alignment is diagnostic; no practical merge improvement is claimed
mnist_mlp_N4_W16_S1700_B2,real_mnist,permutation,4,16,1700,2,0-1-2,1.1726039399558574,0.9499177595981665,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,-0.006616010835202801,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W16_S1700_B2,real_mnist,signed_permutation,4,16,1700,2,0-1-2,1.1726039399558574,0.9499177595981665,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,-0.006616010835202801,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,signed extension did not make the residual scalar/central
mnist_mlp_N4_W16_S1700_B2,real_mnist,monomial_phase_or_scale,4,16,1700,2,0-1-2,0.9466422283348883,0.3222493351702955,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.627668424427871,-0.006616010835202801,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W16_S1700_B2,real_mnist,block_orthogonal,4,16,1700,2,0-1-2,1.190275951055517,0.9565337704333693,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,-0.6342844352630738,-0.006616010835202801,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
mnist_mlp_N4_W16_S1700_B2,real_mnist,low_rank_GL,4,16,1700,2,0-1-2,0.814024366344292,0.5701136701239042,0.0,1.0,,gl_reduces_residual,gl_diagnostic_only,0.38642010030946505,-0.006616010835202801,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,GL alignment is diagnostic; no practical merge improvement is claimed
mnist_mlp_N4_W16_S1700_B2,real_mnist,permutation,4,16,1700,2,0-1-3,1.2747548783981961,0.982264602843857,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,-0.002994446082366209,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W16_S1700_B2,real_mnist,signed_permutation,4,16,1700,2,0-1-3,1.2747548783981961,0.982264602843857,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,-0.002994446082366209,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,signed extension did not make the residual scalar/central
mnist_mlp_N4_W16_S1700_B2,real_mnist,monomial_phase_or_scale,4,16,1700,2,0-1-3,1.000524629997593,0.3557027934767125,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.6265618093671445,-0.002994446082366209,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W16_S1700_B2,real_mnist,block_orthogonal,4,16,1700,2,0-1-3,1.287579891925447,0.9852590489262232,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,-0.6295562554495107,-0.002994446082366209,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
mnist_mlp_N4_W16_S1700_B2,real_mnist,low_rank_GL,4,16,1700,2,0-1-3,0.7945723669001441,0.5516145816856646,0.0,1.0,,gl_reduces_residual,gl_diagnostic_only,0.4336444672405586,-0.002994446082366209,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,GL alignment is diagnostic; no practical merge improvement is claimed
mnist_mlp_N4_W16_S1700_B2,real_mnist,permutation,4,16,1700,2,0-2-3,1.2747548783981961,0.982264602843857,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,-0.004068779007726286,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W16_S1700_B2,real_mnist,signed_permutation,4,16,1700,2,0-2-3,1.2747548783981961,0.982264602843857,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,-0.004068779007726286,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,signed extension did not make the residual scalar/central
mnist_mlp_N4_W16_S1700_B2,real_mnist,monomial_phase_or_scale,4,16,1700,2,0-2-3,0.9749990461248867,0.26804491870275104,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.7142196841411059,-0.004068779007726286,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W16_S1700_B2,real_mnist,block_orthogonal,4,16,1700,2,0-2-3,1.29246908850172,0.9863333818515833,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,-0.7182884631488322,-0.004068779007726286,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
mnist_mlp_N4_W16_S1700_B2,real_mnist,low_rank_GL,4,16,1700,2,0-2-3,0.7510531626771694,0.49745530579995795,0.0,1.0,,gl_reduces_residual,gl_diagnostic_only,0.4888780760516253,-0.004068779007726286,False,False,gl_diagnostic_only,low_rank_GL,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,GL alignment is diagnostic; no practical merge improvement is claimed
mnist_mlp_N4_W16_S1700_B2,real_mnist,permutation,4,16,1700,2,1-2-3,1.0,0.8660254037844386,0.0,1.0,,noncentral_permutation_holonomy,nonabelian_synchronization_or_report_holonomy,,-0.026337551309998486,False,False,report_noncentral_holonomy,,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,permutation defect is noncentral; not a Brauer/projective scalar claim
mnist_mlp_N4_W16_S1700_B2,real_mnist,signed_permutation,4,16,1700,2,1-2-3,1.0,0.8660254037844386,0.0,1.0,,signed_noncentral_holonomy,report_noncentral_holonomy,0.0,-0.026337551309998486,False,False,report_noncentral_holonomy,,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,signed extension did not make the residual scalar/central
mnist_mlp_N4_W16_S1700_B2,real_mnist,monomial_phase_or_scale,4,16,1700,2,1-2-3,0.8345771341708019,0.30295113976392285,0.0,1.0,,noncentral_holonomy,report_noncentral_holonomy,0.5630742640205157,-0.026337551309998486,False,False,report_noncentral_holonomy,,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,monomial extension did not produce a scalar finite-index residual
mnist_mlp_N4_W16_S1700_B2,real_mnist,block_orthogonal,4,16,1700,2,1-2-3,1.0475509873281108,0.8923629550944371,0.0,1.0,,block_noncentral_holonomy,report_noncentral_holonomy,-0.5894118153305142,-0.026337551309998486,False,False,report_noncentral_holonomy,,0.7383575867388386,1.076090275720658,False,0.68075,0.703,False,,not evaluated: block-orthogonal rotations are feature-space diagnostics for ReLU MLPs,
