source,setting_id,case_family,method,seed,n_models,width,block_size,partition_method,observed_cycle_score,observed_centrality_score,observed_scalar_projective_candidate,observed_detected_orders,projected_cycle_score,projected_centrality_score,projected_scalar_projective_candidate,connection_residual,initial_connection_residual,max_connection_residual,objective_value,n_iterations,accepted_sync,calibrated_threshold,evidence_label,expected_outcome,claim_status,merge_accuracy,logit_max_abs_diff,same_parameter_count,exact_same_architecture_symmetry,capacity_matched_to_weight_average,notes,block_recovery_exact,validation_block_residual
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,gauge_equivalent_copy,0,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.7881393432617188e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,unaligned_weight_average,0,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,0.96875,0.17485582828521729,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,block_compatible_aligned_average,0,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.1920928955078125e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,base,1,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,gauge_equivalent_copy,1,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,2.384185791015625e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,unaligned_weight_average,1,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,0.9765625,0.13670575618743896,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,block_compatible_aligned_average,1,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,2.384185791015625e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,base,2,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,gauge_equivalent_copy,2,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,2.682209014892578e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,unaligned_weight_average,2,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,0.953125,0.179459810256958,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,block_compatible_aligned_average,2,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.1920928955078125e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,base,3,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,gauge_equivalent_copy,3,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,2.384185791015625e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,unaligned_weight_average,3,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,0.97265625,0.12340593338012695,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,block_compatible_aligned_average,3,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,2.384185791015625e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,base,4,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,gauge_equivalent_copy,4,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,2.384185791015625e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,unaligned_weight_average,4,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,0.93359375,0.1163179874420166,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,block_compatible_aligned_average,4,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.1920928955078125e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,base,5,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,gauge_equivalent_copy,5,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,2.384185791015625e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,unaligned_weight_average,5,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,0.96484375,0.12385809421539307,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,block_compatible_aligned_average,5,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.4901161193847656e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,base,6,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,gauge_equivalent_copy,6,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.4901161193847656e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,unaligned_weight_average,6,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0858423113822937,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,block_compatible_aligned_average,6,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.1920928955078125e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,base,7,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,gauge_equivalent_copy,7,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,2.384185791015625e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,unaligned_weight_average,7,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,0.97265625,0.18165147304534912,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,block_compatible_aligned_average,7,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.1920928955078125e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,base,8,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,gauge_equivalent_copy,8,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.7881393432617188e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,unaligned_weight_average,8,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,0.95703125,0.14532005786895752,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,block_compatible_aligned_average,8,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.1920928955078125e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,base,9,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,0.0,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,gauge_equivalent_copy,9,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,2.384185791015625e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,unaligned_weight_average,9,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,0.96484375,0.1619967222213745,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
block_compatible_linear_hidden,linear_hidden_exact_block_gauge,block_compatible_merge,block_compatible_aligned_average,9,2,4,2,contiguous,,,,,,,,,,,,0,,,exact_linear_hidden_symmetry,aligned same-architecture average recovers base function,supported_descriptive,1.0,1.7881393432617188e-07,True,True,True,Exact block-orthogonal reparameterization for linear hidden activations.,,
