experiment,seed,flip_prob,nodes,dim,model_noise,label_noise,n_flipped_edges,edge_agreement,gauge_accuracy,obstruction_score,max_obstruction,n_triangles,oracle_accuracy,naive_accuracy,rank_lift_accuracy,naive_failure,rank_lift_gain,rank_lift_branch_count
mu2,10,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9832356770833334,0.935546875,0.935546875,0.04768880208333337,0.0,1
mu2,11,0.0,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9786783854166666,0.92919921875,0.92919921875,0.04947916666666663,0.0,1
mu2,0,0.02,12,32,0.03,0.02,1,0.9848484848484849,1.0,0.045454545454545456,1.0,220.0,0.9798177083333334,0.9309895833333334,0.9309895833333334,0.048828125,0.0,1
mu2,1,0.02,12,32,0.03,0.02,1,0.9848484848484849,1.0,0.045454545454545456,1.0,220.0,0.9803059895833334,0.9318033854166666,0.9318033854166666,0.04850260416666674,0.0,1
mu2,2,0.02,12,32,0.03,0.02,2,0.9696969696969697,1.0,0.09090909090909091,1.0,220.0,0.9773763020833334,0.9288736979166666,0.9288736979166666,0.04850260416666674,0.0,1
mu2,3,0.02,12,32,0.03,0.02,1,0.9848484848484849,1.0,0.045454545454545456,1.0,220.0,0.9817708333333334,0.9337565104166666,0.9337565104166666,0.04801432291666674,0.0,1
mu2,4,0.02,12,32,0.03,0.02,1,0.9848484848484849,1.0,0.045454545454545456,1.0,220.0,0.9822591145833334,0.9430338541666666,0.9430338541666666,0.03922526041666674,0.0,1
mu2,5,0.02,12,32,0.03,0.02,3,0.9545454545454546,1.0,0.12727272727272726,1.0,220.0,0.9803059895833334,0.9300130208333334,0.9300130208333334,0.05029296875,0.0,1
mu2,6,0.02,12,32,0.03,0.02,1,0.9848484848484849,1.0,0.045454545454545456,1.0,220.0,0.9763997395833334,0.9361979166666666,0.9361979166666666,0.04020182291666674,0.0,1
mu2,7,0.02,12,32,0.03,0.02,3,0.9545454545454546,1.0,0.13636363636363635,1.0,220.0,0.9803059895833334,0.9283854166666666,0.9283854166666666,0.05192057291666674,0.0,1
mu2,8,0.02,12,32,0.03,0.02,3,0.9545454545454546,1.0,0.12727272727272726,1.0,220.0,0.982421875,0.9353841145833334,0.9353841145833334,0.04703776041666663,0.0,1
mu2,9,0.02,12,32,0.03,0.02,1,0.9848484848484849,1.0,0.045454545454545456,1.0,220.0,0.98046875,0.9329427083333334,0.9329427083333334,0.04752604166666663,0.0,1
mu2,10,0.02,12,32,0.03,0.02,0,1.0,1.0,0.0,0.0,220.0,0.9832356770833334,0.935546875,0.935546875,0.04768880208333337,0.0,1
mu2,11,0.02,12,32,0.03,0.02,4,0.9393939393939394,1.0,0.15454545454545454,1.0,220.0,0.9786783854166666,0.92919921875,0.92919921875,0.04947916666666663,0.0,1
mu2,0,0.05,12,32,0.03,0.02,1,0.9848484848484849,1.0,0.045454545454545456,1.0,220.0,0.9798177083333334,0.9309895833333334,0.9309895833333334,0.048828125,0.0,1
mu2,1,0.05,12,32,0.03,0.02,5,0.9242424242424242,1.0,0.17272727272727273,1.0,220.0,0.9803059895833334,0.9318033854166666,0.9318033854166666,0.04850260416666674,0.0,1
mu2,2,0.05,12,32,0.03,0.02,4,0.9393939393939394,1.0,0.17272727272727273,1.0,220.0,0.9773763020833334,0.9288736979166666,0.9288736979166666,0.04850260416666674,0.0,1
mu2,3,0.05,12,32,0.03,0.02,6,0.9090909090909091,1.0,0.22727272727272727,1.0,220.0,0.9817708333333334,0.9337565104166666,0.9337565104166666,0.04801432291666674,0.0,1
mu2,4,0.05,12,32,0.03,0.02,2,0.9696969696969697,1.0,0.09090909090909091,1.0,220.0,0.9822591145833334,0.9430338541666666,0.9430338541666666,0.03922526041666674,0.0,1
mu2,5,0.05,12,32,0.03,0.02,5,0.9242424242424242,1.0,0.21818181818181817,1.0,220.0,0.9803059895833334,0.9300130208333334,0.9300130208333334,0.05029296875,0.0,1
mu2,6,0.05,12,32,0.03,0.02,1,0.9848484848484849,1.0,0.045454545454545456,1.0,220.0,0.9763997395833334,0.9361979166666666,0.9361979166666666,0.04020182291666674,0.0,1
mu2,7,0.05,12,32,0.03,0.02,6,0.9090909090909091,1.0,0.24545454545454545,1.0,220.0,0.9803059895833334,0.9283854166666666,0.9283854166666666,0.05192057291666674,0.0,1
mu2,8,0.05,12,32,0.03,0.02,6,0.9090909090909091,1.0,0.24545454545454545,1.0,220.0,0.982421875,0.9353841145833334,0.9353841145833334,0.04703776041666663,0.0,1
mu2,9,0.05,12,32,0.03,0.02,1,0.9848484848484849,1.0,0.045454545454545456,1.0,220.0,0.98046875,0.9329427083333334,0.9329427083333334,0.04752604166666663,0.0,1
mu2,10,0.05,12,32,0.03,0.02,1,0.9848484848484849,1.0,0.045454545454545456,1.0,220.0,0.9832356770833334,0.935546875,0.935546875,0.04768880208333337,0.0,1
mu2,11,0.05,12,32,0.03,0.02,6,0.9090909090909091,1.0,0.21818181818181817,1.0,220.0,0.9786783854166666,0.92919921875,0.92919921875,0.04947916666666663,0.0,1
mu2,0,0.1,12,32,0.03,0.02,9,0.8636363636363636,1.0,0.3181818181818182,1.0,220.0,0.9798177083333334,0.9309895833333334,0.9309895833333334,0.048828125,0.0,1
mu2,1,0.1,12,32,0.03,0.02,8,0.8787878787878788,1.0,0.2727272727272727,1.0,220.0,0.9803059895833334,0.9318033854166666,0.9318033854166666,0.04850260416666674,0.0,1
mu2,2,0.1,12,32,0.03,0.02,6,0.9090909090909091,1.0,0.23636363636363636,1.0,220.0,0.9773763020833334,0.9288736979166666,0.9288736979166666,0.04850260416666674,0.0,1
mu2,3,0.1,12,32,0.03,0.02,9,0.8636363636363636,1.0,0.33636363636363636,1.0,220.0,0.9817708333333334,0.9337565104166666,0.9337565104166666,0.04801432291666674,0.0,1
mu2,4,0.1,12,32,0.03,0.02,7,0.8939393939393939,1.0,0.2636363636363636,1.0,220.0,0.9822591145833334,0.9430338541666666,0.9430338541666666,0.03922526041666674,0.0,1
mu2,5,0.1,12,32,0.03,0.02,11,0.8333333333333334,1.0,0.37272727272727274,1.0,220.0,0.9803059895833334,0.9300130208333334,0.9300130208333334,0.05029296875,0.0,1
mu2,6,0.1,12,32,0.03,0.02,6,0.9090909090909091,1.0,0.20909090909090908,1.0,220.0,0.9763997395833334,0.9361979166666666,0.9361979166666666,0.04020182291666674,0.0,1
mu2,7,0.1,12,32,0.03,0.02,9,0.8636363636363636,1.0,0.35454545454545455,1.0,220.0,0.9803059895833334,0.9283854166666666,0.9283854166666666,0.05192057291666674,0.0,1
mu2,8,0.1,12,32,0.03,0.02,9,0.8636363636363636,1.0,0.32727272727272727,1.0,220.0,0.982421875,0.9353841145833334,0.9353841145833334,0.04703776041666663,0.0,1
mu2,9,0.1,12,32,0.03,0.02,4,0.9393939393939394,1.0,0.18181818181818182,1.0,220.0,0.98046875,0.9329427083333334,0.9329427083333334,0.04752604166666663,0.0,1
mu2,10,0.1,12,32,0.03,0.02,5,0.9242424242424242,1.0,0.18181818181818182,1.0,220.0,0.9832356770833334,0.935546875,0.935546875,0.04768880208333337,0.0,1
mu2,11,0.1,12,32,0.03,0.02,11,0.8333333333333334,1.0,0.33636363636363636,1.0,220.0,0.9786783854166666,0.92919921875,0.92919921875,0.04947916666666663,0.0,1
mu2,0,0.2,12,32,0.03,0.02,11,0.8333333333333334,1.0,0.38181818181818183,1.0,220.0,0.9798177083333334,0.9309895833333334,0.9309895833333334,0.048828125,0.0,1
mu2,1,0.2,12,32,0.03,0.02,15,0.7878787878787878,0.9166666666666666,0.39090909090909093,1.0,220.0,0.9803059895833334,0.8634440104166666,0.9375,0.11686197916666674,0.07405598958333337,2
mu2,2,0.2,12,32,0.03,0.02,9,0.8636363636363636,1.0,0.33636363636363636,1.0,220.0,0.9773763020833334,0.9288736979166666,0.9288736979166666,0.04850260416666674,0.0,1
mu2,3,0.2,12,32,0.03,0.02,12,0.8181818181818182,1.0,0.4,1.0,220.0,0.9817708333333334,0.9337565104166666,0.9337565104166666,0.04801432291666674,0.0,1
mu2,4,0.2,12,32,0.03,0.02,11,0.8333333333333334,1.0,0.36363636363636365,1.0,220.0,0.9822591145833334,0.9430338541666666,0.9430338541666666,0.03922526041666674,0.0,1
mu2,5,0.2,12,32,0.03,0.02,17,0.7424242424242424,1.0,0.44545454545454544,1.0,220.0,0.9803059895833334,0.9300130208333334,0.9300130208333334,0.05029296875,0.0,1
mu2,6,0.2,12,32,0.03,0.02,17,0.7272727272727273,0.9166666666666666,0.4727272727272727,1.0,220.0,0.9763997395833334,0.8649088541666666,0.9401041666666666,0.11149088541666674,0.0751953125,2
mu2,7,0.2,12,32,0.03,0.02,18,0.7272727272727273,1.0,0.4909090909090909,1.0,220.0,0.9803059895833334,0.9283854166666666,0.9283854166666666,0.05192057291666674,0.0,1
mu2,8,0.2,12,32,0.03,0.02,19,0.7121212121212122,1.0,0.4727272727272727,1.0,220.0,0.982421875,0.9353841145833334,0.9353841145833334,0.04703776041666663,0.0,1
mu2,9,0.2,12,32,0.03,0.02,11,0.8333333333333334,1.0,0.39090909090909093,1.0,220.0,0.98046875,0.9329427083333334,0.9329427083333334,0.04752604166666663,0.0,1
mu2,10,0.2,12,32,0.03,0.02,9,0.8636363636363636,1.0,0.2727272727272727,1.0,220.0,0.9832356770833334,0.935546875,0.935546875,0.04768880208333337,0.0,1
mu2,11,0.2,12,32,0.03,0.02,15,0.7727272727272727,1.0,0.37272727272727274,1.0,220.0,0.9786783854166666,0.92919921875,0.92919921875,0.04947916666666663,0.0,1
mu2,0,0.3,12,32,0.03,0.02,21,0.7121212121212122,0.8333333333333334,0.5181818181818182,1.0,220.0,0.9798177083333334,0.7950846354166666,0.93310546875,0.18473307291666674,0.13802083333333337,2
mu2,1,0.3,12,32,0.03,0.02,25,0.6363636363636364,0.5833333333333334,0.509090909090909,1.0,220.0,0.9803059895833334,0.578125,0.9337565104166666,0.40218098958333337,0.35563151041666663,2
mu2,2,0.3,12,32,0.03,0.02,15,0.7727272727272727,1.0,0.4727272727272727,1.0,220.0,0.9773763020833334,0.9288736979166666,0.9288736979166666,0.04850260416666674,0.0,1
mu2,3,0.3,12,32,0.03,0.02,17,0.7424242424242424,1.0,0.44545454545454544,1.0,220.0,0.9817708333333334,0.9337565104166666,0.9337565104166666,0.04801432291666674,0.0,1
mu2,4,0.3,12,32,0.03,0.02,20,0.696969696969697,1.0,0.5363636363636364,1.0,220.0,0.9822591145833334,0.9430338541666666,0.9430338541666666,0.03922526041666674,0.0,1
mu2,5,0.3,12,32,0.03,0.02,25,0.7424242424242424,0.6666666666666666,0.4090909090909091,1.0,220.0,0.9803059895833334,0.6492513020833334,0.9347330729166666,0.3310546875,0.28548177083333326,2
mu2,6,0.3,12,32,0.03,0.02,22,0.6515151515151515,0.75,0.5181818181818182,1.0,220.0,0.9763997395833334,0.72119140625,0.9365234375,0.25520833333333337,0.21533203125,2
mu2,7,0.3,12,32,0.03,0.02,27,0.696969696969697,0.75,0.5,1.0,220.0,0.9803059895833334,0.7159830729166666,0.9303385416666666,0.26432291666666674,0.21435546875,2
mu2,8,0.3,12,32,0.03,0.02,24,0.696969696969697,0.8333333333333334,0.5181818181818182,1.0,220.0,0.982421875,0.7978515625,0.9397786458333334,0.1845703125,0.14192708333333337,2
mu2,9,0.3,12,32,0.03,0.02,16,0.7575757575757576,1.0,0.4727272727272727,1.0,220.0,0.98046875,0.9329427083333334,0.9329427083333334,0.04752604166666663,0.0,1
mu2,10,0.3,12,32,0.03,0.02,17,0.7575757575757576,0.9166666666666666,0.4636363636363636,1.0,220.0,0.9832356770833334,0.8663736979166666,0.9404296875,0.11686197916666674,0.07405598958333337,2
mu2,11,0.3,12,32,0.03,0.02,17,0.7878787878787878,0.9166666666666666,0.39090909090909093,1.0,220.0,0.9786783854166666,0.857421875,0.9334309895833334,0.12125651041666663,0.07600911458333337,2
mu2,0,0.4,12,32,0.03,0.02,30,0.6818181818181818,0.75,0.4818181818181818,1.0,220.0,0.9798177083333334,0.7234700520833334,0.93408203125,0.25634765625,0.21061197916666663,2
mu2,1,0.4,12,32,0.03,0.02,31,0.6666666666666666,0.5833333333333334,0.5,1.0,220.0,0.9803059895833334,0.5774739583333334,0.9363606770833334,0.40283203125,0.35888671875,2
mu2,2,0.4,12,32,0.03,0.02,20,0.6818181818181818,0.9166666666666666,0.5272727272727272,1.0,220.0,0.9773763020833334,0.8582356770833334,0.9324544270833334,0.119140625,0.07421875,2
mu2,3,0.4,12,32,0.03,0.02,22,0.6666666666666666,1.0,0.4909090909090909,1.0,220.0,0.9817708333333334,0.9337565104166666,0.9337565104166666,0.04801432291666674,0.0,1
mu2,4,0.4,12,32,0.03,0.02,24,0.6060606060606061,0.6666666666666666,0.5454545454545454,1.0,220.0,0.9822591145833334,0.6500651041666666,0.9449869791666666,0.33219401041666674,0.294921875,2
mu2,5,0.4,12,32,0.03,0.02,32,0.7121212121212122,0.5833333333333334,0.45454545454545453,1.0,220.0,0.9803059895833334,0.578125,0.93505859375,0.40218098958333337,0.35693359375,2
mu2,6,0.4,12,32,0.03,0.02,28,0.6212121212121212,0.75,0.4727272727272727,1.0,220.0,0.9763997395833334,0.72119140625,0.9365234375,0.25520833333333337,0.21533203125,2
mu2,7,0.4,12,32,0.03,0.02,32,0.696969696969697,0.6666666666666666,0.5,1.0,220.0,0.9803059895833334,0.64697265625,0.93017578125,0.33333333333333337,0.283203125,2
mu2,8,0.4,12,32,0.03,0.02,29,0.6515151515151515,0.6666666666666666,0.5636363636363636,1.0,220.0,0.982421875,0.6531575520833334,0.9363606770833334,0.32926432291666663,0.283203125,2
mu2,9,0.4,12,32,0.03,0.02,21,0.6666666666666666,0.75,0.509090909090909,1.0,220.0,0.98046875,0.71435546875,0.9342447916666666,0.26611328125,0.21988932291666663,2
mu2,10,0.4,12,32,0.03,0.02,22,0.7575757575757576,0.8333333333333334,0.4818181818181818,1.0,220.0,0.9832356770833334,0.7903645833333334,0.939453125,0.19287109375,0.14908854166666663,2
mu2,11,0.4,12,32,0.03,0.02,20,0.7575757575757576,0.8333333333333334,0.4090909090909091,1.0,220.0,0.9786783854166666,0.7882486979166666,0.93408203125,0.1904296875,0.14583333333333337,2
