method_id,method_or_diagnostic,family,output_type,parameter_multiplier,inference_multiplier,exact_relu_mlp_symmetry,exact_relu_cnn_channel_symmetry,exact_linear_hidden_block_symmetry,diagnostic_only,validation_selected,official_external_code,extra_capacity,period_index_lift,requires_residual_certification_gate,dataset_architecture_scope,paper_claim_allowed,paper_claim_forbidden,primary_evidence
cnn_global_channel_scale,CNN global channel-scale synchronization,CNN channel gauges,single merged no-BatchNorm CNN after global channel-scale synchronization,1x,1x,no,yes,no,no,yes,no,no,no,no,Fashion-MNIST and final bounded CIFAR no-BatchNorm CNNs,Exact-gauge candidate with validation-only selection.,Do not claim robust CIFAR improvement.,reports/fashion_mnist_cnn_channel_gauge_confirmatory_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
cnn_optimized_channel_scale,CNN optimized channel scale,CNN channel gauges,single merged no-BatchNorm CNN after validation grid selection,1x,1x,no,yes,no,no,yes,no,no,no,no,Fashion-MNIST and final bounded CIFAR no-BatchNorm CNNs,Fashion-MNIST limited improvement over C2M3; CIFAR descriptive only.,Do not claim greedy-soup or broad CIFAR win.,reports/fashion_mnist_cnn_channel_gauge_confirmatory_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
cnn_positive_channel_scaled_soup,CNN positive channel-scaled greedy soup,CNN soups,single model soup over positive channel-scale candidates,1x,1x,no,yes,no,no,yes,no,no,no,no,Fashion-MNIST and CIFAR no-BatchNorm CNNs,Capacity-matched positive channel-scale candidate soup diagnostic.,Do not claim CIFAR improvement or greedy-soup win from this row.,reports/fashion_mnist_cnn_channel_gauge_confirmatory_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
cnn_shrinkage_channel_scaled_soup,CNN shrinkage channel-scaled greedy soup,CNN soups,single model soup over shrinkage channel-scale candidates,1x,1x,no,yes,no,no,yes,no,no,no,no,Fashion-MNIST and CIFAR no-BatchNorm CNNs,Capacity-matched shrinkage candidate soup diagnostic.,Do not claim robust greedy-soup improvement unless CI lower bound is positive.,reports/fashion_mnist_cnn_channel_gauge_confirmatory_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
cnn_global_channel_scaled_soup,CNN global channel-scaled greedy soup,CNN soups,single model soup over globally synchronized channel-scale candidates,1x,1x,no,yes,no,no,yes,no,no,no,no,Fashion-MNIST and CIFAR no-BatchNorm CNNs,Capacity-matched global channel-scale candidate soup diagnostic.,Do not claim broad vision or CIFAR method win.,reports/fashion_mnist_cnn_channel_gauge_confirmatory_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
cnn_optimized_channel_scaled_soup,CNN optimized channel-scaled greedy soup,CNN soups,single model soup over validation-optimized channel-scale candidates,1x,1x,no,yes,no,no,yes,no,no,no,no,Fashion-MNIST and CIFAR no-BatchNorm CNNs,Capacity-matched optimized channel-scale candidate soup diagnostic.,Do not claim robust greedy-soup improvement unless CI lower bound is positive.,reports/fashion_mnist_cnn_channel_gauge_confirmatory_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
cnn_union_candidate_soup,CNN union channel candidate soup,CNN soups,"single model soup over original, C2M3, and channel-scale candidates",1x,1x,no,yes,no,no,yes,no,no,no,no,Fashion-MNIST and CIFAR no-BatchNorm CNNs,Descriptive/small limited soup boundary where supported.,Do not claim broad vision or external baseline win.,reports/fashion_mnist_cnn_channel_gauge_confirmatory_report.md; reports/cifar_final_channel_gauge_confirmatory_report.md
bridge_rotated_mnist_channel_sync,Rotated-MNIST bridge C2M3 channel synchronization,bridge datasets,single merged no-BatchNorm CNN after channel synchronization,1x,1x,no,yes,no,no,no,no,no,no,no,Rotated-MNIST bridge dataset only,Bridge-only internal C2M3-style channel synchronization evidence.,Do not infer CIFAR or general vision performance.,reports/bridge_dataset_channel_gauge_expansion.md
bridge_colored_mnist_channel_sync,Colored-MNIST bridge C2M3 channel synchronization,bridge datasets,single merged no-BatchNorm CNN after channel synchronization,1x,1x,no,yes,no,no,no,no,no,no,no,Colored-MNIST bridge dataset only,Bridge-only internal C2M3-style channel synchronization evidence.,"Do not infer CIFAR, ImageNet, or general vision performance.",reports/bridge_dataset_channel_gauge_expansion.md
bridge_channel_scale_candidates,Rotated/colored-MNIST bridge channel-scale candidates,bridge datasets,single merged no-BatchNorm CNN channel-scale candidates,1x,1x,no,yes,no,no,yes,no,no,no,no,Rotated-MNIST and colored-MNIST bridge datasets only,Bridge-only validation-selected exact-gauge candidate evidence.,Do not promote bridge channel scales to broad vision claims.,reports/bridge_dataset_channel_gauge_expansion.md
bridge_union_candidate_soup,Rotated/colored-MNIST bridge union candidate soup,bridge datasets,single model soup over bridge C2M3 and channel-scale candidates,1x,1x,no,yes,no,no,yes,no,no,no,no,Rotated-MNIST and colored-MNIST bridge datasets only,Bridge-only capacity-matched soup boundary experiment.,Do not claim external Model Soups or CIFAR performance.,reports/bridge_dataset_channel_gauge_expansion.md
bridge_greedy_safe_selector,Rotated/colored-MNIST bridge greedy-safe selector,bridge datasets,validation-gated selector defaulting to bridge greedy soup,1x,1x,no,no,no,no,yes,no,no,no,no,Rotated-MNIST and colored-MNIST bridge datasets only,Bridge-only no-harm selector diagnostic.,Do not infer CIFAR or general vision performance.,reports/bridge_dataset_channel_gauge_expansion.md
cifar_final_c2m3_channel_sync,Final bounded CIFAR C2M3 channel synchronization,CIFAR final,single merged no-BatchNorm CNN after channel synchronization,1x,1x,no,yes,no,no,no,no,no,no,no,"CIFAR-10 no-BatchNorm CNN, 32/64/256, N=3, five seeds",Base accuracy gate passed; bounded appendix baseline.,Do not claim official C2M3 execution or broad CIFAR win.,reports/cifar_final_channel_gauge_confirmatory_report.md
cifar_final_positive_channel_scale,Final bounded CIFAR positive channel scale,CIFAR final,single merged no-BatchNorm CNN after positive channel scaling,1x,1x,no,yes,no,no,no,no,no,no,no,"CIFAR-10 no-BatchNorm CNN, 32/64/256, N=3, five seeds",Bounded appendix exact-gauge diagnostic.,Do not claim CIFAR improvement; reported deltas are negative/descriptive.,reports/cifar_final_channel_gauge_confirmatory_report.md
cifar_final_shrinkage_channel_scale,Final bounded CIFAR shrinkage channel scale,CIFAR final,single merged no-BatchNorm CNN after validation-selected shrinkage scale,1x,1x,no,yes,no,no,yes,no,no,no,no,"CIFAR-10 no-BatchNorm CNN, 32/64/256, N=3, five seeds",Bounded appendix validation-selected exact-gauge candidate.,Do not claim broad or statistically confirmed CIFAR improvement.,reports/cifar_final_channel_gauge_confirmatory_report.md
cifar_final_global_channel_scale,Final bounded CIFAR global channel scale,CIFAR final,single merged no-BatchNorm CNN after global channel-scale synchronization,1x,1x,no,yes,no,no,yes,no,no,no,no,"CIFAR-10 no-BatchNorm CNN, 32/64/256, N=3, five seeds",Bounded appendix validation-selected exact-gauge candidate.,Do not claim broad or statistically confirmed CIFAR improvement.,reports/cifar_final_channel_gauge_confirmatory_report.md
cifar_final_optimized_channel_scale,Final bounded CIFAR optimized channel scale,CIFAR final,single merged no-BatchNorm CNN after validation-optimized channel scaling,1x,1x,no,yes,no,no,yes,no,no,no,no,"CIFAR-10 no-BatchNorm CNN, 32/64/256, N=3, five seeds",Bounded appendix validation-selected exact-gauge candidate.,Do not claim broad or statistically confirmed CIFAR improvement.,reports/cifar_final_channel_gauge_confirmatory_report.md
cifar_final_union_candidate_soup,Final bounded CIFAR union candidate soup,CIFAR final,single model soup over CIFAR baseline and exact-gauge candidates,1x,1x,no,yes,no,no,yes,no,no,no,no,"CIFAR-10 no-BatchNorm CNN, 32/64/256, N=3, five seeds",Bounded appendix soup-compatible candidate diagnostic.,Do not claim greedy-soup win when confidence interval touches zero.,reports/cifar_final_channel_gauge_confirmatory_report.md
cifar_final_greedy_safe_selector,Final bounded CIFAR greedy-safe selector,CIFAR final,validation-gated selector defaulting to greedy soup,1x,1x,no,no,no,no,yes,no,no,no,no,"CIFAR-10 no-BatchNorm CNN, 32/64/256, N=3, five seeds",Bounded appendix no-harm selector diagnostic.,Do not promote to a general CIFAR model-merging solution.,reports/cifar_final_channel_gauge_confirmatory_report.md
twisted_rank_lift_branch,TwistedMerge q=2 branch lift,twisted/branch lifts,branch prediction / extra-capacity lifted representation,q x,q x or branch ensemble proxy,no,no,no,no,no,no,yes,no,yes,Controlled finite central mu_2 example,Detects failed gauge synchronization and recovers prediction in controlled branch-lift example.,Do not call capacity-matched single merged model or nonzero H2 trivialization.,tests/test_twisted_merge_algorithm.py; reports/twisted_merge_algorithm_verification.md
twisted_merge_plus_branch_selector,TwistedMerge++ residual classifier/selector,twisted/branch lifts,"selector over C2M3, edge-outlier, central, and projective cases",1x,1x,no,no,no,yes,no,no,no,no,yes,Controlled residual-classification demos,Residual taxonomy and guarded lift activation.,Do not claim natural MNIST/CIFAR solution.,tests/test_twisted_merge_plus.py; reports/twisted_merge_plus_report.md
finite_index_projective_lift,Finite-index projective lift,period-index/projective lifts,rank-d projective/direct-sum lift,d x or rank divisible by d,d x proxy,no,no,no,no,no,no,yes,yes,yes,Controlled clock-shift finite torsion examples,Period/index threshold and rank obstruction in controlled algebraic setting.,Do not claim real neural defects have clock-shift form.,reports/finite_index_twist_report.md; reports/twisted_merge_plus_finite_index_report.md
period_index_projective_morita_lift,Period-index projective/Morita lift,period-index/projective lifts,rank d^k projective/Morita lift,index d^k x,index d^k x proxy,no,no,no,no,no,no,yes,yes,yes,Controlled finite Heisenberg k-pair central systems,Certified period/index rank threshold in controlled cases.,Do not claim same-cover ordinary vector-bundle trivialization.,reports/period_index_central_report.md; reports/twisted_merge_plus_period_index_report.md
commutator_matrix_detector,Central commutator-matrix period-index detector,period-index diagnostics,diagnostic detector and rank decision,1x,1x,no,no,no,yes,no,no,no,yes,yes,Controlled central/projective generators and noncentral controls,Certified period/index detector when centrality and rank gates pass.,Do not lift unknown-index or noncentral cases.,reports/period_index_commutator_matrix_report.md
robust_period_index_detector,Robust/noisy period-index detector,period-index diagnostics,diagnostic detector with calibrated uncertainty/rejection,1x,1x,no,no,no,yes,no,no,no,yes,yes,"Controlled noisy Heisenberg, loop-mining, and noncentral controls",Certified/uncertain/rejected detector state under calibrated thresholds.,Do not lift uncertain candidates.,reports/robust_period_index_detector_report.md; reports/robust_period_index_calibration_report.md
time_frequency_known_chart,Known finite time-frequency chart operators,time-frequency period-index,diagnostic known-operator period/index certification,1x,1x,no,no,no,yes,no,no,no,yes,yes,Synthetic finite time-frequency signal-domain operators,Natural signal-domain central projective relation in controlled charts.,Do not claim arbitrary neural hidden layers expose this structure.,reports/time_frequency_period_index_report.md
time_frequency_learned_charts,Learned time-frequency chart maps,time-frequency period-index,learned chart diagnostic plus guarded lift decision,1x,1x,no,no,no,yes,no,no,no,yes,yes,Controlled paired-chart and autoencoder chart recovery,Certified learned chart recovery only when detector passes.,Do not claim supervised encoder or noisy rejected rows are valid lifts.,reports/time_frequency_learned_chart_report.md
denoised_learned_chart_methods,Denoised learned-chart methods,time-frequency period-index,structure-preserving chart denoising diagnostic,1x,1x,no,no,no,yes,no,no,no,yes,yes,Controlled noisy time-frequency learned charts,Denoising can improve certified recovery under small noise.,Do not use operator-error reduction alone as lift certificate.,reports/time_frequency_denoised_chart_report.md
nearest_heisenberg_projection,Nearest finite-Heisenberg projection,time-frequency period-index,projection diagnostic plus residual-gated certification,1x,1x,no,no,no,yes,no,no,no,yes,yes,Controlled time-frequency projection benchmark,Projection can extend certified recovery when projection residual gate accepts.,Do not accept canonical replacement with large residual.,reports/time_frequency_heisenberg_projection_report.md
finite_index_residual_mining,Finite-index residual mining,residual mining,diagnostic mining table,1x,1x,no,no,no,yes,no,no,no,yes,yes,Real MNIST activation-permutation residuals plus clock-shift controls,Negative real-residual evidence and positive-control detection.,Do not claim real MNIST residuals are finite-index projective classes.,reports/finite_index_residual_mining_report.md
structure_group_ladder,Structure-group ladder diagnostics,structure-group diagnostics,"diagnostic residual taxonomy over permutation, signed, monomial, GL, and block groups",1x,1x,no,no,no,yes,no,no,no,no,yes,Real MNIST/Fashion residual diagnostics and controlled cases,Diagnostic taxonomy and negative central/projective evidence.,Do not call signed/full-GL/block rotations exact ReLU merges.,reports/structure_group_ladder_report.md; reports/block_orthogonal_ladder_report.md
block_orthogonal_ladder,Block-orthogonal ladder diagnostics,block diagnostics,diagnostic block-orthogonal residual analysis,1x,1x,no,no,no,yes,no,no,no,no,yes,Real MNIST ReLU MLP block-size diagnostics plus synthetic controls,Feature-space diagnostic and controlled block-holonomy checks.,Do not report ReLU block-orthogonal rotations as exact single-model merges.,reports/block_orthogonal_ladder_report.md
global_block_synchronization,Global block synchronization,block diagnostics,diagnostic projected block gauges with connection-residual honesty check,1x,1x,no,no,no,yes,no,no,no,no,yes,Synthetic exact gauges and real MNIST block diagnostics,Projected-cycle diagnostics plus connection residual calibration.,Do not use post-projection cycle score alone as descent proof.,reports/global_block_synchronization_report.md; reports/optimized_global_block_synchronization_report.md
optimized_global_block_synchronization,Connection-residual optimized global block synchronization,block diagnostics,diagnostic block-gauge optimization,1x,1x,no,no,no,yes,no,no,no,no,yes,Controlled block-gauge grids and real ReLU diagnostic rows,Residual-optimized diagnostics and fake-projection-trap rejection.,Do not claim natural MNIST/CIFAR merge improvement.,reports/block_gauge_phase_diagram_report.md; reports/block_gauge_branch_closure_report.md
learned_block_partitions,Learned block partitions,block diagnostics,diagnostic/validation-selected block partition candidates,1x,1x,no,no,no,yes,yes,no,no,no,yes,Controlled learned-block recovery and real MNIST diagnostics,Learned partition recovery on planted controls.,Do not claim learned blocks improve real MNIST residuals in current run.,reports/global_block_synchronization_report.md; reports/block_gauge_phase_diagram_report.md
block_compatible_aligned_average,Block-compatible aligned average,block-compatible exact merge,single merged model in exact linear-hidden architecture,1x,1x,no,no,yes,no,yes,no,no,no,no,Controlled identity/linear-hidden block-compatible architecture,Capacity-matched exact block-gauge aligned average in controlled linear-hidden setting.,Do not infer natural ReLU or CIFAR block-gauge performance.,reports/block_compatible_learning_report.md
relu_block_diagnostic,Real ReLU block diagnostic rows,block diagnostics,diagnostic-only ReLU block residual rows,1x,1x,no,no,no,yes,no,no,no,no,yes,Real ReLU MLP block diagnostics,Diagnostic-only ReLU block residual reporting.,Do not report block-orthogonal ReLU merge accuracy.,reports/relu_block_diagnostic_report.md
sheaf_gnn_cycle_diagnostic,PyTorch-only sheaf/GNN cycle diagnostic,sheaf/GNN diagnostics,diagnostic GNN/sheaf run and cycle score,1x,1x,no,no,no,yes,yes,no,no,no,no,Synthetic heterophilic small graphs,Cycle inconsistency can be measured in a synthetic optional diagnostic.,Do not claim sheaf regularization generally improves GNNs.,reports/sheaf_gnn_optional_report.md
unified_quantitative_obstruction_chain,Unified quantitative obstruction chain,meta audit/aggregation,diagnostic aggregate table over existing artifacts,1x,1x,no,no,no,yes,no,no,no,no,no,"Existing obstruction, detector, gate, selector, block, time-frequency, and sheaf artifacts",Artifact-scoped chain of residual gates and claim boundaries.,Do not treat aggregation as new experimental success.,reports/unified_quantitative_obstruction_chain.md
