source,group_name,noise_level,method,n,mean_validation_accuracy,mean_test_accuracy,mean_branch_count
controlled,D4,0.25,uniform_pool_sign_destroyed_control,30,0.30475,0.30716666666666664,1.0
controlled,D4,0.25,validation_branch_ensemble_control,30,0.4498611111111111,0.44916666666666666,8.0
controlled,D4,0.25,wrong_quotient_control,30,0.33958333333333335,0.34145000000000003,8.0
controlled,D4,0.25,wrong_quotient_order_control,30,0.3302222222222222,0.3327,8.0
controlled,D4,0.5,c2m3_cluster_branch_control,30,0.3939166666666667,0.39326666666666665,8.0
controlled,D4,0.5,one_shot_regular_lift,30,0.7348333333333333,0.73275,8.0
controlled,D4,0.5,parameter_matched_wide_model,30,0.40375,0.40521666666666667,1.0
controlled,D4,0.5,random_same_branch_count_control,30,0.37094444444444447,0.3711,8.0
controlled,D4,0.5,reversed_quotient_order_control,30,0.31366666666666665,0.31334999999999996,8.0
controlled,D4,0.5,uniform_pool_sign_destroyed_control,30,0.2696944444444444,0.2720166666666667,1.0
controlled,D4,0.5,validation_branch_ensemble_control,30,0.4131388888888889,0.4117166666666667,8.0
controlled,D4,0.5,wrong_quotient_control,30,0.3075555555555555,0.30746666666666667,8.0
controlled,D4,0.5,wrong_quotient_order_control,30,0.2937222222222223,0.30041666666666667,8.0
controlled,S3,0.0,c2m3_cluster_branch_control,30,0.46847222222222223,0.46586666666666665,6.0
controlled,S3,0.0,one_shot_regular_lift,30,0.6999444444444445,0.6983666666666667,6.0
controlled,S3,0.0,parameter_matched_wide_model,30,0.47758333333333336,0.48096666666666665,1.0
controlled,S3,0.0,random_same_branch_count_control,30,0.4410833333333333,0.44275000000000003,6.0
controlled,S3,0.0,reversed_quotient_order_control,30,0.3864444444444445,0.3839666666666667,6.0
controlled,S3,0.0,uniform_pool_sign_destroyed_control,30,0.3414444444444445,0.33831666666666665,1.0
controlled,S3,0.0,validation_branch_ensemble_control,30,0.4840277777777778,0.48519999999999996,6.0
controlled,S3,0.0,wrong_quotient_control,30,0.3745,0.3734166666666667,6.0
controlled,S3,0.0,wrong_quotient_order_control,30,0.36480555555555555,0.36056666666666665,6.0
controlled,S3,0.25,c2m3_cluster_branch_control,30,0.4207222222222222,0.42486666666666667,6.0
controlled,S3,0.25,one_shot_regular_lift,30,0.6648333333333334,0.6623333333333333,6.0
controlled,S3,0.25,parameter_matched_wide_model,30,0.4405,0.44266666666666665,1.0
controlled,S3,0.25,random_same_branch_count_control,30,0.402,0.40335,6.0
controlled,S3,0.25,reversed_quotient_order_control,30,0.34349999999999997,0.35133333333333333,6.0
controlled,S3,0.25,uniform_pool_sign_destroyed_control,30,0.3045277777777778,0.3065833333333333,1.0
controlled,S3,0.25,validation_branch_ensemble_control,30,0.45011111111111113,0.45005,6.0
controlled,S3,0.25,wrong_quotient_control,30,0.33905555555555555,0.3419666666666667,6.0
controlled,S3,0.25,wrong_quotient_order_control,30,0.32675,0.33105,6.0
controlled,S3,0.5,c2m3_cluster_branch_control,30,0.39063888888888887,0.38491666666666663,6.0
controlled,S3,0.5,one_shot_regular_lift,30,0.6334166666666667,0.6281,6.0
controlled,S3,0.5,parameter_matched_wide_model,30,0.4075277777777778,0.4060833333333333,1.0
controlled,S3,0.5,random_same_branch_count_control,30,0.36466666666666664,0.36813333333333337,6.0
controlled,S3,0.5,reversed_quotient_order_control,30,0.30816666666666664,0.3107666666666667,6.0
controlled,S3,0.5,uniform_pool_sign_destroyed_control,30,0.27472222222222226,0.27430000000000004,1.0
controlled,S3,0.5,validation_branch_ensemble_control,30,0.40661111111111115,0.4079,6.0
controlled,S3,0.5,wrong_quotient_control,30,0.3020277777777778,0.3048666666666666,6.0
controlled,S3,0.5,wrong_quotient_order_control,30,0.2911388888888889,0.29446666666666665,6.0
