run_id,group_name,family,seed,hidden_width,input_dim,n_train,n_val,n_test,group_order,group_exponent,holonomy_element,holonomy_order,is_holonomy_central,stable_group_action,method,validation_accuracy,test_accuracy,validation_loss,test_loss,selected_by_validation,selector_no_test_leakage,ordinary_sync_residual,branch_action_residual,naive_representation_residual,invariant_pooling_residual,pre_lift_connection_residual,post_lift_connection_residual,invariant_projection_residual,parameter_multiplier,inference_multiplier,branch_count,capacity_matched_to_unlifted,capacity_matched_to_random_branch_control,is_single_model,is_extra_capacity
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.972,0.9615,0.11352083983269887,0.15289176960652326,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,naive_regular_representation_no_pooling,0.95,0.9495,0.197727210488787,0.19929172132811465,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_regular_lift_with_invariant_pooling,0.966,0.952,0.13620897211785635,0.18969409065530926,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_orbit_lift_with_invariant_pooling,0.944,0.949,0.22048572989051402,0.20068743652554222,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,random_same_branch_count_control,0.92,0.9285,0.3110600110319714,0.27835748675207117,False,True,0.0,0.0,0.0,0.5,0.0,0.5,0.5,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,oracle_true_branch_lift,0.972,0.9645,0.1149710787379753,0.1415546236064959,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.965,0.9625,0.14124388780244754,0.1493729085473109,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed1,S3,trivial_coboundary,1,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,ensemble_upper_bound,0.978,0.985,0.09183454862924083,0.06452919675002883,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_weight_average,0.907,0.9255,0.3604707943021708,0.29040048519640366,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.952,0.955,0.18967889170202387,0.17770545899969054,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,naive_regular_representation_no_pooling,0.948,0.9515,0.2041706962661198,0.19009460316638985,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_regular_lift_with_invariant_pooling,0.953,0.9625,0.18552407927481881,0.14908357803772776,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_orbit_lift_with_invariant_pooling,0.953,0.9465,0.18516901411563105,0.20878263435006225,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,random_same_branch_count_control,0.921,0.9285,0.30575715201737486,0.2777717316390326,False,True,0.0,0.0,0.0,0.5,0.0,0.5,0.5,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,oracle_true_branch_lift,0.974,0.9795,0.10534280115344524,0.08533506053787658,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.976,0.9585,0.0989084299591769,0.16427548324349545,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed2,S3,trivial_coboundary,2,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,ensemble_upper_bound,0.98,0.964,0.0843293651376011,0.14320588884519836,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_weight_average,0.909,0.9085,0.3544618967070221,0.3527218118517331,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.975,0.97,0.10131432494419851,0.12114901232083247,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,naive_regular_representation_no_pooling,0.938,0.934,0.2428214250722368,0.25665670338939367,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_regular_lift_with_invariant_pooling,0.962,0.9595,0.15095906784150823,0.16115210799660537,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_orbit_lift_with_invariant_pooling,0.953,0.9485,0.18535459254593736,0.20281972925530442,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,random_same_branch_count_control,0.929,0.929,0.2765740183413554,0.2782451937469927,False,True,0.0,0.0,0.0,0.5,0.0,0.5,0.5,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,oracle_true_branch_lift,0.967,0.9745,0.13145369391089598,0.10310972057754411,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.964,0.968,0.14368796055424798,0.1282598173901846,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed3,S3,trivial_coboundary,3,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,ensemble_upper_bound,0.975,0.9755,0.10256819331960863,0.10001387923007982,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_weight_average,0.904,0.935,0.3734425889077164,0.2532376553409527,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.969,0.969,0.12588453091209847,0.12508096320748247,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,naive_regular_representation_no_pooling,0.947,0.9515,0.20794001287001887,0.19109296341823068,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_regular_lift_with_invariant_pooling,0.97,0.958,0.12041448591619633,0.16715524257655387,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_orbit_lift_with_invariant_pooling,0.944,0.9595,0.21887673305843935,0.160864445283628,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,random_same_branch_count_control,0.929,0.9215,0.2751253335678704,0.30536786400930926,False,True,0.0,0.0,0.0,0.5,0.0,0.5,0.5,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,oracle_true_branch_lift,0.972,0.9765,0.11342893051726376,0.09710303732451342,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.957,0.969,0.17129292284177852,0.12547027647049172,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed4,S3,trivial_coboundary,4,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,ensemble_upper_bound,0.984,0.984,0.06822642144136166,0.06852367760374253,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_weight_average,0.915,0.912,0.32998082256027905,0.3406397359533452,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.965,0.9685,0.14112691656909418,0.12709209308944952,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,naive_regular_representation_no_pooling,0.936,0.929,0.24934557000701654,0.27673726256001785,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_regular_lift_with_invariant_pooling,0.946,0.968,0.213114651524345,0.12884163614797076,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_orbit_lift_with_invariant_pooling,0.938,0.9525,0.24275003663915132,0.18711772409346547,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,random_same_branch_count_control,0.927,0.921,0.2845410630756653,0.3056465599746765,False,True,0.0,0.0,0.0,0.5,0.0,0.5,0.5,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,oracle_true_branch_lift,0.964,0.98,0.1424041725061105,0.0835971145831532,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.96,0.9675,0.15961411940580933,0.1308919162354923,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed5,S3,trivial_coboundary,5,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,ensemble_upper_bound,0.977,0.97,0.09569496472782368,0.12197941991654075,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_weight_average,0.927,0.9175,0.28434519005378595,0.3197882095534544,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.955,0.9625,0.17772567250006752,0.1492736942835511,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,naive_regular_representation_no_pooling,0.946,0.939,0.21351163257474123,0.23784579653708568,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_regular_lift_with_invariant_pooling,0.96,0.9575,0.15763574972107608,0.1688797451553415,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_orbit_lift_with_invariant_pooling,0.947,0.957,0.2095638611283628,0.17088786961587965,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,random_same_branch_count_control,0.926,0.9375,0.2884560233001156,0.24308870033828664,False,True,0.0,0.0,0.0,0.5,0.0,0.5,0.5,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,oracle_true_branch_lift,0.97,0.972,0.12121681255540884,0.11428549023015104,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.961,0.969,0.15416925145670113,0.1255995022900007,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed6,S3,trivial_coboundary,6,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,ensemble_upper_bound,0.977,0.962,0.09534251649658852,0.15063882235167939,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_weight_average,0.937,0.9295,0.24686768899395278,0.2754892506537785,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.957,0.9615,0.1690191129096026,0.1530204316672317,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,naive_regular_representation_no_pooling,0.942,0.9405,0.2269427919904087,0.23366943021171088,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_regular_lift_with_invariant_pooling,0.95,0.958,0.19774380174043985,0.167044685723557,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_orbit_lift_with_invariant_pooling,0.957,0.9695,0.1704108883331637,0.1238935349118145,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,random_same_branch_count_control,0.943,0.9305,0.22193782144141347,0.2716247723145154,False,True,0.0,0.0,0.0,0.5,0.0,0.5,0.5,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,oracle_true_branch_lift,0.97,0.97,0.12047985848527354,0.12199935078830842,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.969,0.9665,0.12350545584458181,0.13476876346189245,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed7,S3,trivial_coboundary,7,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,ensemble_upper_bound,0.979,0.9645,0.08783332906817472,0.14167815602818767,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_weight_average,0.912,0.9235,0.3395810384448241,0.29619512765513323,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.956,0.967,0.17356704223517103,0.13274941543303584,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,naive_regular_representation_no_pooling,0.938,0.952,0.24343026130920145,0.1898510884775768,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_regular_lift_with_invariant_pooling,0.966,0.9575,0.13731228994951275,0.16850377053126708,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_orbit_lift_with_invariant_pooling,0.952,0.9605,0.19071320387445131,0.15719128722359021,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,random_same_branch_count_control,0.913,0.9285,0.33535178794538834,0.27843713448552193,False,True,0.0,0.0,0.0,0.5,0.0,0.5,0.5,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,oracle_true_branch_lift,0.964,0.975,0.14316318423850066,0.10206884034617648,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,greedy_soup,0.973,0.971,0.1089982321858837,0.11855148089391955,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed8,S3,trivial_coboundary,8,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,ensemble_upper_bound,0.985,0.9765,0.06421273117368205,0.09761826646093077,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed9,S3,trivial_coboundary,9,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_weight_average,0.92,0.9125,0.30984527575506704,0.3403551259188257,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed9,S3,trivial_coboundary,9,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,unlifted_c2m3_sync,0.971,0.9695,0.11714748287842948,0.12258211258572255,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed9,S3,trivial_coboundary,9,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,naive_regular_representation_no_pooling,0.949,0.9415,0.19887682814384772,0.22990240437130502,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,True,False,True,False
S3_trivial_coboundary_W12_seed9,S3,trivial_coboundary,9,12,20,2000,1000,2000,6,6,"[0, 1, 2]",1,True,True,branch_regular_lift_with_invariant_pooling,0.956,0.9615,0.174399017956636,0.15205767364219708,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6,False,True,False,True
