experiment,seed,noise_std,nodes,dim,branches,model_noise,label_noise,edge_residual,phase_error,obstruction_score,max_obstruction,n_triangles,oracle_accuracy,naive_accuracy,rank_lift_accuracy,naive_failure,rank_lift_gain,rank_lift_branch_count
u1,10,0.0,12,32,4,0.03,0.02,6.211184226427069e-17,7.401486830834377e-17,6.5538702527127e-17,2.8271597168564594e-16,220.0,0.9806315104166666,0.9324544270833334,0.9324544270833334,0.04817708333333326,0.0,1
u1,11,0.0,12,32,4,0.03,0.02,4.7119328614274324e-17,7.401486830834377e-17,3.6624569059276863e-17,2.8271597168564594e-16,220.0,0.97998046875,0.9287109375,0.9287109375,0.05126953125,0.0,1
u1,0,0.05,12,32,4,0.03,0.02,0.0113713142114525,0.009474824550278852,0.022138801289863598,0.08394241299601046,220.0,0.9835611979166666,0.92919921875,0.92919921875,0.05436197916666663,0.0,1
u1,1,0.05,12,32,4,0.03,0.02,0.011271869868340372,0.017939538789724725,0.021195743264365744,0.09646039533331868,220.0,0.9820963541666666,0.9296875,0.9296875,0.05240885416666663,0.0,1
u1,2,0.05,12,32,4,0.03,0.02,0.010904127452284113,0.017112830192007118,0.019690667107836308,0.07538165562249965,220.0,0.98046875,0.9293619791666666,0.9293619791666666,0.05110677083333337,0.0,1
u1,3,0.05,12,32,4,0.03,0.02,0.013601690599828744,0.01589447952591701,0.025089144010678206,0.08603050949888308,220.0,0.9793294270833334,0.9332682291666666,0.9332682291666666,0.04606119791666674,0.0,1
u1,4,0.05,12,32,4,0.03,0.02,0.011129443825476554,0.01831498017477236,0.022045931069503734,0.07908002157399685,220.0,0.97802734375,0.9295247395833334,0.9295247395833334,0.04850260416666663,0.0,1
u1,5,0.05,12,32,4,0.03,0.02,0.013697280069028563,0.01832181119580467,0.025629700727514686,0.08481223197328369,220.0,0.97900390625,0.9314778645833334,0.9314778645833334,0.04752604166666663,0.0,1
u1,6,0.05,12,32,4,0.03,0.02,0.013241521128450855,0.011145655084027317,0.025287926185378912,0.09957713053030084,220.0,0.98193359375,0.9259440104166666,0.9259440104166666,0.05598958333333337,0.0,1
u1,7,0.05,12,32,4,0.03,0.02,0.012716152166852422,0.02627514531425897,0.024668030515470517,0.0975971762524419,220.0,0.97802734375,0.9347330729166666,0.9347330729166666,0.04329427083333337,0.0,1
u1,8,0.05,12,32,4,0.03,0.02,0.009638562986280087,0.015489147410698475,0.018309913241949555,0.07536331867367563,220.0,0.9793294270833334,0.9313151041666666,0.9313151041666666,0.04801432291666674,0.0,1
u1,9,0.05,12,32,4,0.03,0.02,0.010532101155255907,0.010769616005982438,0.020722300133793316,0.06207137041137682,220.0,0.98046875,0.93798828125,0.93798828125,0.04248046875,0.0,1
u1,10,0.05,12,32,4,0.03,0.02,0.01199852986542035,0.011468253145943649,0.021791530331270258,0.06327412901708149,220.0,0.9806315104166666,0.9327799479166666,0.9327799479166666,0.0478515625,0.0,1
u1,11,0.05,12,32,4,0.03,0.02,0.011310866768230963,0.012258007105372393,0.02152572625510815,0.07605736515941017,220.0,0.97998046875,0.9287109375,0.9287109375,0.05126953125,0.0,1
u1,0,0.1,12,32,4,0.03,0.02,0.02274077224774469,0.018949585149497777,0.04427760257972716,0.1678848259920215,220.0,0.9835611979166666,0.9293619791666666,0.9293619791666666,0.05419921875,0.0,1
u1,1,0.1,12,32,4,0.03,0.02,0.022538014905763532,0.03549436728165282,0.042391486528731454,0.19292079066663737,220.0,0.9820963541666666,0.9283854166666666,0.9283854166666666,0.0537109375,0.0,1
u1,2,0.1,12,32,4,0.03,0.02,0.021805713289719447,0.03422881387064617,0.03938133421567263,0.15076331124499945,220.0,0.98046875,0.93017578125,0.93017578125,0.05029296875,0.0,1
u1,3,0.1,12,32,4,0.03,0.02,0.027197970683556814,0.03183135365021764,0.05017828802135638,0.17206101899776588,220.0,0.9793294270833334,0.9314778645833334,0.9314778645833334,0.0478515625,0.0,1
u1,4,0.1,12,32,4,0.03,0.02,0.022258418750116943,0.03657501655998885,0.04409186213900757,0.1581600431479937,220.0,0.97802734375,0.9287109375,0.9287109375,0.04931640625,0.0,1
u1,5,0.1,12,32,4,0.03,0.02,0.02739310922355888,0.036633928788061744,0.05125940145502938,0.16962446394656738,220.0,0.97900390625,0.9308268229166666,0.9308268229166666,0.04817708333333337,0.0,1
u1,6,0.1,12,32,4,0.03,0.02,0.026473339690963167,0.022378042197618297,0.05057585237075783,0.19915426106060197,220.0,0.98193359375,0.9261067708333334,0.9261067708333334,0.05582682291666663,0.0,1
u1,7,0.1,12,32,4,0.03,0.02,0.02541109397085304,0.05256666418028003,0.04933606103094097,0.19519435250488465,220.0,0.97802734375,0.9337565104166666,0.9337565104166666,0.04427083333333337,0.0,1
u1,8,0.1,12,32,4,0.03,0.02,0.019276186344347714,0.030993516057243802,0.03661982648389914,0.1507266373473518,220.0,0.9793294270833334,0.9305013020833334,0.9305013020833334,0.048828125,0.0,1
u1,9,0.1,12,32,4,0.03,0.02,0.021059722049951376,0.02155333480129588,0.041444600267586604,0.12414274082275323,220.0,0.98046875,0.9365234375,0.9365234375,0.0439453125,0.0,1
u1,10,0.1,12,32,4,0.03,0.02,0.023996649117923593,0.022935118382715298,0.04358306066254053,0.12654825803416297,220.0,0.9806315104166666,0.9313151041666666,0.9313151041666666,0.04931640625,0.0,1
u1,11,0.1,12,32,4,0.03,0.02,0.022618302903343934,0.024514691766358194,0.04305145251021628,0.15211473031882033,220.0,0.97998046875,0.9288736979166666,0.9288736979166666,0.05110677083333337,0.0,1
u1,0,0.2,12,32,4,0.03,0.02,0.04546653457796823,0.03789863791835072,0.08855520515945438,0.335769651984043,220.0,0.9835611979166666,0.9288736979166666,0.9288736979166666,0.0546875,0.0,1
u1,1,0.2,12,32,4,0.03,0.02,0.04503040415550913,0.06790292535460214,0.08478297305746288,0.38584158133327473,220.0,0.9820963541666666,0.92529296875,0.92529296875,0.05680338541666663,0.0,1
u1,2,0.2,12,32,4,0.03,0.02,0.04359085223076697,0.06847965931543491,0.07876266843134527,0.3015266224899989,220.0,0.98046875,0.927734375,0.927734375,0.052734375,0.0,1
u1,3,0.2,12,32,4,0.03,0.02,0.054351048636582557,0.06400220187873025,0.10035657604271271,0.3441220379955319,220.0,0.9793294270833334,0.9278971354166666,0.9278971354166666,0.05143229166666674,0.0,1
u1,4,0.2,12,32,4,0.03,0.02,0.04451299482505644,0.07270911073034132,0.08818372427801513,0.31632008629598796,220.0,0.97802734375,0.9256184895833334,0.9256184895833334,0.05240885416666663,0.0,1
u1,5,0.2,12,32,4,0.03,0.02,0.0547743765177259,0.07318545694800078,0.10251880291005878,0.33924892789313477,220.0,0.97900390625,0.9313151041666666,0.9313151041666666,0.04768880208333337,0.0,1
u1,6,0.2,12,32,4,0.03,0.02,0.05286776402652444,0.04546062555517368,0.10115170474151566,0.3983085221212037,220.0,0.98193359375,0.9254557291666666,0.9254557291666666,0.05647786458333337,0.0,1
u1,7,0.2,12,32,4,0.03,0.02,0.05065058903980641,0.10526132307199887,0.09867212206188199,0.3903887050097693,220.0,0.97802734375,0.9303385416666666,0.9303385416666666,0.04768880208333337,0.0,1
u1,8,0.2,12,32,4,0.03,0.02,0.038544786178623086,0.06210982262668004,0.07323965296779827,0.30145327469470307,220.0,0.9793294270833334,0.9278971354166666,0.9278971354166666,0.05143229166666674,0.0,1
u1,9,0.2,12,32,4,0.03,0.02,0.042083217582701754,0.04321953425227772,0.0828892005351732,0.248285481645506,220.0,0.98046875,0.9353841145833334,0.9353841145833334,0.04508463541666663,0.0,1
u1,10,0.2,12,32,4,0.03,0.02,0.04798996993066773,0.04585828472753872,0.08716612132508109,0.25309651606832567,220.0,0.9806315104166666,0.9305013020833334,0.9305013020833334,0.05013020833333326,0.0,1
u1,11,0.2,12,32,4,0.03,0.02,0.04520897632147369,0.04902049154853624,0.08610290502043254,0.30422946063764095,220.0,0.97998046875,0.9285481770833334,0.9285481770833334,0.05143229166666663,0.0,1
u1,0,0.4,12,32,4,0.03,0.02,0.0908076778950955,0.07579041636022317,0.17711041031890865,0.671539303968086,220.0,0.9835611979166666,0.9241536458333334,0.9241536458333334,0.05940755208333326,0.0,1
u1,1,0.4,12,32,4,0.03,0.02,0.08970628154386256,0.11494146047821274,0.16956594611492576,0.77168316266655,220.0,0.9820963541666666,0.91552734375,0.91552734375,0.06656901041666663,0.0,1
u1,2,0.4,12,32,4,0.03,0.02,0.08700887316803389,0.13701990966123287,0.15752533686269052,0.6030532449799978,220.0,0.98046875,0.92041015625,0.92041015625,0.06005859375,0.0,1
u1,3,0.4,12,32,4,0.03,0.02,0.10828596957858487,0.13072990637335902,0.20071315208542545,0.6882440759910639,220.0,0.9793294270833334,0.9178059895833334,0.9178059895833334,0.0615234375,0.0,1
u1,4,0.4,12,32,4,0.03,0.02,0.08899216957166892,0.14184798601099483,0.17636744855603023,0.6326401725919754,220.0,0.97802734375,0.91845703125,0.91845703125,0.0595703125,0.0,1
u1,5,0.4,12,32,4,0.03,0.02,0.10944540690109279,0.14553168497656113,0.20503760582011757,0.6784978557862695,220.0,0.97900390625,0.9241536458333334,0.9241536458333334,0.05485026041666663,0.0,1
u1,6,0.4,12,32,4,0.03,0.02,0.10508492783549754,0.09744664719820632,0.20230340948303138,0.7966170442424073,220.0,0.98193359375,0.9197591145833334,0.9197591145833334,0.06217447916666663,0.0,1
u1,7,0.4,12,32,4,0.03,0.02,0.0998838927880051,0.21148145642608282,0.19734424412376403,0.7807774100195388,220.0,0.97802734375,0.9244791666666666,0.9244791666666666,0.05354817708333337,0.0,1
u1,8,0.4,12,32,4,0.03,0.02,0.07702662370668631,0.12523539221538194,0.14647930593559658,0.6029065493894061,220.0,0.9793294270833334,0.9163411458333334,0.9163411458333334,0.06298828125,0.0,1
u1,9,0.4,12,32,4,0.03,0.02,0.0838848697842724,0.08734170586942991,0.16577840107034642,0.4965709632910123,220.0,0.98046875,0.931640625,0.931640625,0.048828125,0.0,1
u1,10,0.4,12,32,4,0.03,0.02,0.09595186216559976,0.09159096847280179,0.17433224265016214,0.506193032136651,220.0,0.9806315104166666,0.92333984375,0.92333984375,0.05729166666666663,0.0,1
u1,11,0.4,12,32,4,0.03,0.02,0.09019089708529988,0.09890067594097136,0.17220581004086508,0.6084589212752819,220.0,0.97998046875,0.921875,0.921875,0.05810546875,0.0,1
u1,0,0.8,12,32,4,0.03,0.02,0.18134072822629518,0.15098736229246723,0.34614305214937713,0.977803429433511,220.0,0.9835611979166666,0.9112955729166666,0.9112955729166666,0.072265625,0.0,1
u1,1,0.8,12,32,4,0.03,0.02,0.17886581669372403,0.17780691905382007,0.33010925464544083,0.9937207207959636,220.0,0.9820963541666666,0.8942057291666666,0.8942057291666666,0.087890625,0.0,1
u1,2,0.8,12,32,4,0.03,0.02,0.1724584124023639,0.27766300791513826,0.31291482593409975,0.9910696032628288,220.0,0.98046875,0.90234375,0.90234375,0.078125,0.0,1
u1,3,0.8,12,32,4,0.03,0.02,0.21081483925860628,0.292618821429076,0.38388309323823455,0.9794844336299515,220.0,0.9793294270833334,0.8837890625,0.8837890625,0.09554036458333337,0.0,1
u1,4,0.8,12,32,4,0.03,0.02,0.17852927588662879,0.2537647403636623,0.3495078132766874,0.9157487146886675,220.0,0.97802734375,0.9026692708333334,0.9026692708333334,0.07535807291666663,0.0,1
u1,5,0.8,12,32,4,0.03,0.02,0.21753015397735403,0.27795567265226684,0.3967919919648328,0.9830313471564246,220.0,0.97900390625,0.89892578125,0.89892578125,0.080078125,0.0,1
u1,6,0.8,12,32,4,0.03,0.02,0.204382454691481,0.26877260810217823,0.3903529148313188,0.9912574184973811,220.0,0.98193359375,0.8917643229166666,0.8917643229166666,0.09016927083333337,0.0,1
u1,7,0.8,12,32,4,0.03,0.02,0.1889996213713741,0.43088524883881485,0.3656443071526497,0.9777172643828824,220.0,0.97802734375,0.8946940104166666,0.8946940104166666,0.08333333333333337,0.0,1
u1,8,0.8,12,32,4,0.03,0.02,0.15387601421831357,0.2597668180488412,0.2899563620061204,0.967981136121124,220.0,0.9793294270833334,0.8818359375,0.8818359375,0.09749348958333337,0.0,1
u1,9,0.8,12,32,4,0.03,0.02,0.16710438324619908,0.18296236050873213,0.3315568021406929,0.9931419265820246,220.0,0.98046875,0.912109375,0.912109375,0.068359375,0.0,1
u1,10,0.8,12,32,4,0.03,0.02,0.19177658316849655,0.1813520565624359,0.34855188471602155,0.9876139357266976,220.0,0.9806315104166666,0.9055989583333334,0.9055989583333334,0.07503255208333326,0.0,1
u1,11,0.8,12,32,4,0.03,0.02,0.17862886668532374,0.20789406069749514,0.33985845552464733,0.9854199277458848,220.0,0.97998046875,0.8982747395833334,0.8982747395833334,0.08170572916666663,0.0,1
u1,0,1.2,12,32,4,0.03,0.02,0.2709794904082348,0.2232700027735165,0.4677259703075036,0.9918180759449874,220.0,0.9835611979166666,0.890625,0.890625,0.09293619791666663,0.0,1
u1,1,1.2,12,32,4,0.03,0.02,0.25062385451695696,0.30568546200453256,0.45044581299382197,0.9872030881527265,220.0,0.9820963541666666,0.8662109375,0.8946940104166666,0.11588541666666663,0.02848307291666663,2
u1,2,1.2,12,32,4,0.03,0.02,0.25264326663030523,0.5011886235100741,0.41178332119015704,0.9997754945488386,220.0,0.98046875,0.8712565104166666,0.9122721354166666,0.10921223958333337,0.041015625,2
u1,3,1.2,12,32,4,0.03,0.02,0.28928156109785513,0.8240167277553972,0.4705052438366115,0.9996551236532591,220.0,0.9793294270833334,0.79052734375,0.8919270833333334,0.18880208333333337,0.10139973958333337,2
u1,4,1.2,12,32,4,0.03,0.02,0.2712582652501256,0.2957471366528678,0.4694638019468203,0.99432392282262,220.0,0.97802734375,0.88916015625,0.9064127604166666,0.0888671875,0.01725260416666663,2
u1,5,1.2,12,32,4,0.03,0.02,0.2937402493037377,0.5563634365715137,0.49163714032176165,0.9936605684276832,220.0,0.97900390625,0.8068033854166666,0.8898111979166666,0.17220052083333337,0.0830078125,3
u1,6,1.2,12,32,4,0.03,0.02,0.2791951095613194,0.6299284204093455,0.48464522486797723,0.9953376551596623,220.0,0.98193359375,0.7994791666666666,0.8916015625,0.18245442708333337,0.09212239583333337,3
u1,7,1.2,12,32,4,0.03,0.02,0.2689556811947234,0.6871987968471438,0.44118851869022174,0.9923062617388597,220.0,0.97802734375,0.8377278645833334,0.8758138020833334,0.14029947916666663,0.0380859375,2
u1,8,1.2,12,32,4,0.03,0.02,0.23121955659789575,0.4201144148286562,0.4002918940628113,0.9843054317275989,220.0,0.9793294270833334,0.8369140625,0.8369140625,0.14241536458333337,0.0,1
u1,9,1.2,12,32,4,0.03,0.02,0.25157020416131315,0.3093270351898904,0.45214546922099363,0.9961743108978175,220.0,0.98046875,0.8785807291666666,0.8785807291666666,0.10188802083333337,0.0,1
u1,10,1.2,12,32,4,0.03,0.02,0.2884994931820431,0.25806932957344403,0.4782895209299432,0.99938976294174,220.0,0.9806315104166666,0.8854166666666666,0.8854166666666666,0.09521484375,0.0,1
u1,11,1.2,12,32,4,0.03,0.02,0.2653649579503593,0.39902251980346537,0.4513166768500983,0.9999179743486227,220.0,0.97998046875,0.84765625,0.8792317708333334,0.13232421875,0.03157552083333337,2
